Format Version,1.23,Take Name,silk_table_exp_7,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 02.51.05.603 下午,Capture Start Frame,73360,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116,0.000147,0.000809,-0.000088,1,-31.029087,28.731642,41.86507,-59.456467,28.872818,80.708763,-2.157399,28.986641,80.372002,-2.605572,28.62701,3.163299,-59.896809,28.440094,3.216326,-59.486805,28.862503,80.729881,-2.142022,28.994104,80.361298,-2.587139,28.618687,3.165358,-59.907131,28.44775,3.209747,-66.055962,89.101463,77.239098,-61.285984,89.158287,11.620008,-65.805519,132.002258,78.266685,-61.393921,71.883987,56.673286,-63.737785,45.956646,10.450316,-61.845566,130.286926,10.185696,-62.379623,108.051727,36.357925,-63.13913,127.265968,43.974464,-65.693794,47.413631,75.312729,-61.251511,43.307373,43.509491
15,0.125,0.000147,0.000815,-0.000105,1,-31.028801,28.73168,41.864906,-59.455658,28.873798,80.708954,-2.156603,28.985706,80.371437,-2.605808,28.626108,3.162771,-59.897041,28.441107,3.216553,-59.487309,28.863361,80.729904,-2.141323,28.993052,80.360291,-2.587232,28.617609,3.164737,-59.906334,28.448578,3.211184,-66.097694,89.073128,77.244545,-61.295311,89.171394,11.615415,-65.782974,131.969925,78.261383,-61.351753,71.879776,56.649078,-63.777744,45.965359,10.431802,-61.85738,130.312759,10.179184,-62.407803,108.058311,36.33717,-63.13504,127.264938,43.968929,-65.726166,47.393291,75.290176,-61.270302,43.307411,43.488235
16,0.133,0.000156,0.000818,-0.000086,1,-31.028193,28.73167,41.863777,-59.454857,28.872019,80.707977,-2.155811,28.986013,80.370178,-2.605388,28.627867,3.161493,-59.896614,28.440784,3.21556,-59.485645,28.860176,80.728821,-2.141293,28.994188,80.357834,-2.586301,28.6178,3.165492,-59.905521,28.449028,3.210238,-66.149117,89.049019,77.240082,-61.304199,89.187256,11.604102,-65.766434,131.939285,78.25972,-61.316753,71.87249,56.622719,-63.799305,45.969429,10.395945,-61.859024,130.336899,10.173093,-62.433414,108.062485,36.319839,-63.130505,127.263176,43.961506,-65.753098,47.373379,75.265862,-61.28223,43.307556,43.463913
17,0.141,0.000173,0.000834,-0.000092,1,-31.025755,28.73008,41.863178,-59.451176,28.869465,80.708298,-2.152133,28.982868,80.368652,-2.604196,28.627235,3.159982,-59.89542,28.44075,3.215885,-59.485107,28.860241,80.728279,-2.13461,28.989258,80.354698,-2.586006,28.619368,3.167187,-59.904205,28.447121,3.210171,-66.210136,89.017487,77.232475,-61.316418,89.201782,11.589528,-65.751801,131.914459,78.257927,-61.274273,71.868507,56.58741,-63.82262,45.9879,10.354231,-61.888634,130.353424,10.155853,-62.472809,108.062782,36.297768,-63.123714,127.260841,43.955326,-65.778236,47.35619,75.237366,-61.313862,43.290962,43.434608
18,0.15,0.00016,0.000813,-0.000092,1,-31.027948,28.731649,41.863667,-59.455036,28.87204,80.707558,-2.155983,28.985409,80.370377,-2.604726,28.627804,3.16169,-59.89595,28.441349,3.215134,-59.486729,28.861973,80.726784,-2.140234,28.992537,80.359055,-2.586905,28.619453,3.164364,-59.904568,28.448509,3.210564,-66.250931,88.995972,77.217117,-61.329407,89.220375,11.570776,-65.740685,131.892319,78.257744,-61.239727,71.859619,56.557209,-63.847244,45.999176,10.311485,-61.89946,130.386597,10.146534,-62.50983,108.064362,36.277096,-63.114994,127.257133,43.953331,-65.80838,47.333878,75.202469,-61.352348,43.274395,43.395668
19,0.158,0.000153,0.000814,-0.000091,1,-31.027969,28.731779,41.863808,-59.454979,28.872618,80.707756,-2.155927,28.986094,80.370461,-2.604824,28.627481,3.161776,-59.896053,28.44092,3.21534,-59.486069,28.861691,80.727524,-2.140164,28.993908,80.358902,-2.585898,28.618324,3.165083,-59.90591,28.448809,3.209892,-66.286667,88.974625,77.198303,-61.341675,89.234138,11.555503,-65.723053,131.874115,78.26535,-61.219864,71.847084,56.525497,-63.862186,46.013962,10.27192,-61.907982,130.423203,10.139971,-62.54921,108.058998,36.258705,-63.106834,127.251289,43.949345,-65.855095,47.301483,75.167099,-61.400063,43.248222,43.350754
20,0.166,0.000164,0.000841,-0.000114,1,-31.026978,28.73019,41.862949,-59.451866,28.871473,80.708443,-2.15283,28.982332,80.368042,-2.605939,28.62545,3.159371,-59.897171,28.441507,3.216043,-59.487194,28.862043,80.728188,-2.134379,28.988977,80.354897,-2.586503,28.617477,3.164727,-59.906914,28.448101,3.210874,-66.329155,88.954361,77.16909,-61.35577,89.254883,11.531483,-65.708321,131.861038,78.268639,-61.20187,71.837616,56.493591,-63.875484,46.031849,10.233481,-61.899166,130.469162,10.143824,-62.570541,108.059563,36.243103,-63.099819,127.246948,43.94656,-65.892578,47.282566,75.128578,-61.387474,43.26178,43.290119
21,0.175,0.000148,0.000817,-0.000105,1,-31.029621,28.731167,41.866299,-59.456348,28.87323,80.710449,-2.157295,28.985102,80.372742,-2.606755,28.625652,3.164068,-59.897984,28.440687,3.21804,-59.486652,28.863026,80.729767,-2.140246,28.992323,80.358002,-2.590876,28.616848,3.174827,-59.906685,28.447945,3.210258,-66.377678,88.93541,77.145561,-61.371304,89.272072,11.508003,-65.696373,131.848557,78.273712,-61.184849,71.836304,56.454288,-63.883381,46.05648,10.171018,-61.910789,130.512543,10.142076,-62.623322,108.04702,36.220242,-63.089294,127.247536,43.945347,-65.925514,47.265388,75.080132,-61.394356,43.26339,43.234921
22,0.183,0.000137,0.000817,-0.0001,1,-31.028908,28.731441,41.865395,-59.455608,28.874033,80.709564,-2.156559,28.986485,80.371811,-2.60607,28.625399,3.163147,-59.897297,28.43985,3.217164,-59.486725,28.864538,80.730972,-2.140415,28.993359,80.360367,-2.587198,28.61762,3.166353,-59.907925,28.446875,3.210142,-66.403,88.929214,77.117447,-61.386852,89.283859,11.484918,-65.685532,131.835556,78.285805,-61.214752,71.818398,56.414341,-63.898235,46.072208,10.123459,-61.93388,130.544983,10.142917,-62.644024,108.047501,36.206455,-63.087059,127.246712,43.948051,-65.950089,47.258266,75.03157,-61.405331,43.267868,43.18663
23,0.191,0.000166,0.000843,-0.000105,1,-31.026224,28.730293,41.863846,-59.450966,28.87096,80.709457,-2.151924,28.982819,80.368828,-2.605337,28.626167,3.160155,-59.896572,28.441229,3.217051,-59.486538,28.86248,80.731606,-2.133714,28.988739,80.35601,-2.587084,28.619274,3.164712,-59.905743,28.447168,3.210487,-66.411629,88.927017,77.08287,-61.403072,89.297394,11.459429,-65.677811,131.827179,78.291222,-61.218315,71.816895,56.384613,-63.91003,46.090141,10.07676,-61.954205,130.578644,10.146519,-62.665039,108.048805,36.193623,-63.088947,127.251694,43.953205,-65.982399,47.269459,74.968628,-61.420368,43.26923,43.13158
24,0.2,0.000152,0.000819,-0.000099,1,-31.029287,28.731325,41.865246,-59.45586,28.872698,80.709503,-2.156809,28.985229,80.371567,-2.606577,28.626499,3.162894,-59.897804,28.440874,3.217098,-59.487309,28.863583,80.730339,-2.141622,28.991684,80.359962,-2.587033,28.618891,3.165317,-59.90752,28.447428,3.211842,-66.431786,88.907829,77.043221,-61.423309,89.308006,11.426874,-65.669159,131.819214,78.303352,-61.236263,71.812607,56.353157,-63.922615,46.124249,10.016793,-61.98634,130.618591,10.155629,-62.677025,108.05619,36.188072,-63.092293,127.259705,43.959282,-66.015244,47.252396,74.898315,-61.42617,43.281685,43.070183
25,0.208,0.000159,0.000815,-0.000091,1,-31.029547,28.73098,41.86692,-59.456432,28.871376,80.71096,-2.157381,28.984886,80.373482,-2.60652,28.627127,3.164801,-59.897743,28.440529,3.218544,-59.485828,28.861248,80.728432,-2.140415,28.992208,80.359352,-2.590556,28.618235,3.175022,-59.906654,28.447842,3.211679,-66.443077,88.896492,77.011475,-61.442978,89.31723,11.400884,-65.662178,131.814804,78.315002,-61.213631,71.838646,56.308483,-63.937084,46.130852,9.964252,-62.016876,130.653534,10.156665,-62.68993,108.062111,36.181595,-63.106232,127.274117,43.961056,-66.041443,47.249187,74.84053,-61.445091,43.283279,43.017551
26,0.216,0.000158,0.000812,-0.0001,1,-31.028206,28.731924,41.865013,-59.455372,28.872923,80.708847,-2.156314,28.98539,80.371788,-2.604905,28.62747,3.163099,-59.896133,28.441916,3.216428,-59.485043,28.862801,80.728874,-2.141051,28.992674,80.359741,-2.585991,28.618807,3.167679,-59.906136,28.44928,3.210177,-66.449234,88.884949,76.980377,-61.464424,89.326515,11.377602,-65.652397,131.809372,78.326431,-61.227684,71.843933,56.28112,-63.959831,46.13308,9.894009,-62.031673,130.67717,10.158424,-62.689053,108.073997,36.180969,-63.123657,127.291916,43.966282,-66.08873,47.235809,74.794647,-61.461514,43.292809,42.969978
27,0.225,0.000156,0.000821,-0.000093,1,-31.02836,28.731632,41.86517,-59.454811,28.872347,80.709526,-2.15576,28.985601,80.371407,-2.605772,28.62746,3.162727,-59.897007,28.44112,3.217116,-59.484627,28.862568,80.728729,-2.141057,28.992596,80.35994,-2.586869,28.619114,3.165736,-59.906353,28.448177,3.212319,-66.451019,88.871918,76.943794,-61.496414,89.342178,11.341873,-65.641052,131.799667,78.345032,-61.244957,71.849518,56.24749,-63.971729,46.146637,9.842637,-62.0522,130.702454,10.163801,-62.689049,108.105553,36.180935,-63.140209,127.311203,43.971176,-66.131638,47.233437,74.745026,-61.478935,43.312038,42.913212
28,0.233,0.000163,0.000847,-0.000104,1,-31.025055,28.730595,41.862564,-59.44949,28.871408,80.708397,-2.150455,28.983412,80.36731,-2.604475,28.626326,3.158647,-59.895706,28.441235,3.216004,-59.483562,28.862793,80.72773,-2.13337,28.989342,80.353012,-2.585104,28.618803,3.16589,-59.904575,28.447136,3.211343,-66.442017,88.855034,76.900734,-61.521561,89.357307,11.320524,-65.637245,131.796448,78.365288,-61.268467,71.85083,56.221642,-63.981182,46.159546,9.805827,-62.078255,130.728271,10.1723,-62.691162,108.119034,36.190289,-63.158035,127.331833,43.980896,-66.159187,47.232571,74.690094,-61.502003,43.32198,42.86182
29,0.241,0.000164,0.000813,-0.000084,1,-31.027927,28.731663,41.864033,-59.454964,28.871267,80.707962,-2.155915,28.985531,80.370705,-2.604756,28.628597,3.162017,-59.895981,28.441254,3.215539,-59.486626,28.861164,80.727295,-2.140093,28.992725,80.358627,-2.584621,28.619947,3.16563,-59.906109,28.448492,3.210843,-66.439682,88.841507,76.874252,-61.554764,89.374207,11.307204,-65.622009,131.791824,78.383568,-61.290592,71.85321,56.194592,-63.990932,46.173252,9.769909,-62.111782,130.750992,10.186211,-62.680763,108.134651,36.202297,-63.170456,127.34716,43.993698,-66.19648,47.218246,74.637077,-61.523693,43.327721,42.814335
