Format Version,1.23,Take Name,cotton_hang_exp_8,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 04.41.32.515 下午,Capture Start Frame,564635,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.15,-0.000161,0.000226,0.001401,0.999999,-52.23967,69.448784,33.019154,-51.7691,71.752869,68.765114,-51.771748,67.216393,68.923378,-52.691563,67.054314,-2.897081,-52.726269,71.771584,-2.714786,-51.771729,71.756897,68.757713,-51.768738,67.211136,68.937393,-52.693485,67.053032,-2.898884,-52.724396,71.773521,-2.717896,-80.142159,80.67849,78.281487,-79.908875,73.542053,70.464714,-78.883522,96.725937,63.440067,-79.42627,96.271896,79.38945,-78.918495,81.039513,46.36129,-78.691216,86.754295,56.217087,-78.201126,97.739601,46.576492,-79.779953,62.742584,61.076839,-81.685402,64.5494,45.980469,-81.172173,63.312893,77.536865
19,0.158,-0.000159,0.000213,0.001256,0.999999,-52.239544,69.448647,33.019386,-51.769268,71.752457,68.765366,-51.773232,67.215981,68.923607,-52.691166,67.054436,-2.896869,-52.724518,71.771713,-2.714556,-51.770039,71.757965,68.75882,-51.772316,67.208977,68.93454,-52.691917,67.051605,-2.896618,-52.723824,71.775055,-2.7178,-80.144623,80.681389,78.279694,-79.91037,73.544174,70.466385,-78.877815,96.727699,63.436802,-79.417397,96.273186,79.383667,-78.896851,81.038345,46.357246,-78.684303,86.753616,56.217407,-78.198502,97.735992,46.572063,-79.767487,62.743889,61.081409,-81.666473,64.544991,45.98439,-81.18985,63.313465,77.537048
20,0.166,-0.00017,0.000224,0.001399,0.999999,-52.238758,69.448349,33.019089,-51.768314,71.753059,68.765007,-51.770985,67.216583,68.923355,-52.690517,67.053238,-2.897108,-52.725212,71.770515,-2.71489,-51.771015,71.757462,68.756447,-51.768135,67.211235,68.935257,-52.692604,67.050293,-2.897645,-52.723141,71.774109,-2.717028,-80.148132,80.685547,78.277512,-79.915733,73.54686,70.46405,-78.870827,96.727493,63.433956,-79.404068,96.278503,79.379913,-78.889824,81.034004,46.35611,-78.677078,86.752739,56.214119,-78.195396,97.732635,46.566883,-79.749214,62.746853,61.083752,-81.650307,64.537872,45.98735,-81.204842,63.316147,77.53833
21,0.175,-0.000167,0.000227,0.001614,0.999999,-52.236938,69.447693,33.019634,-51.767303,71.752426,68.765556,-51.768024,67.21595,68.923882,-52.687859,67.052582,-2.896565,-52.724575,71.769836,-2.714327,-51.770393,71.753487,68.757118,-51.76487,67.214218,68.934952,-52.69096,67.049515,-2.897387,-52.721458,71.773552,-2.715912,-80.150917,80.68985,78.27713,-79.907288,73.557068,70.465645,-78.864838,96.727875,63.427723,-79.388878,96.285706,79.374977,-78.8806,81.032715,46.357193,-78.658478,86.754005,56.216152,-78.192993,97.727295,46.560799,-79.721451,62.75333,61.091965,-81.628395,64.53112,45.991001,-81.222221,63.318272,77.541008
22,0.183,-0.00017,0.000245,0.001405,0.999999,-52.237099,69.447891,33.02,-51.765186,71.752617,68.7659,-51.767784,67.216141,68.92424,-52.690346,67.052773,-2.896178,-52.72509,71.77005,-2.71396,-51.768406,71.753906,68.75827,-51.764404,67.214081,68.936523,-52.69339,67.051407,-2.897092,-52.72205,71.77211,-2.717091,-80.154213,80.693527,78.274712,-79.912659,73.556557,70.464058,-78.860207,96.728394,63.426273,-79.377472,96.290436,79.372475,-78.873009,81.027657,46.356522,-78.655296,86.748245,56.217896,-78.192879,97.722183,46.556358,-79.711258,62.751328,61.092682,-81.610748,64.524994,45.991699,-81.240112,63.321556,77.543465
23,0.191,-0.000171,0.00022,0.001729,0.999999,-52.236313,69.447487,33.020504,-51.7677,71.752579,68.766418,-51.76738,67.21611,68.924774,-52.686192,67.05201,-2.895683,-52.723991,71.769264,-2.71348,-51.770695,71.754166,68.757675,-51.764256,67.213699,68.93737,-52.688652,67.050049,-2.896053,-52.721512,71.771973,-2.716453,-80.157692,80.697342,78.274826,-79.921257,73.552391,70.465698,-78.85498,96.728531,63.421978,-79.365303,96.295937,79.368874,-78.864685,81.023933,46.358444,-78.646034,86.745567,56.215714,-78.192879,97.716751,46.552029,-79.707756,62.745605,61.102112,-81.591949,64.519302,45.994423,-81.253052,63.328819,77.54895
24,0.2,-0.000159,0.000218,0.001415,0.999999,-52.238644,69.447586,33.01989,-51.768707,71.751602,68.765854,-51.771225,67.215118,68.924118,-52.689899,67.053185,-2.896363,-52.724751,71.770462,-2.714056,-51.769787,71.755318,68.759819,-51.769974,67.210373,68.935059,-52.691097,67.050941,-2.897346,-52.723618,71.773216,-2.716862,-80.161545,80.70356,78.273102,-79.907471,73.560173,70.471184,-78.847679,96.741585,63.404083,-79.355133,96.304337,79.364944,-78.854332,81.020386,46.358501,-78.637131,86.742905,56.217545,-78.194984,97.710281,46.545677,-79.699638,62.747372,61.109047,-81.566338,64.513573,45.99963,-81.267815,63.335007,77.558701
25,0.208,-0.000161,0.000225,0.001222,0.999999,-52.23888,69.447914,33.019997,-51.767612,71.751846,68.765953,-51.771885,67.21537,68.92421,-52.691505,67.053589,-2.896235,-52.724529,71.770874,-2.713943,-51.769054,71.755836,68.75959,-51.770229,67.210358,68.935509,-52.692692,67.05117,-2.897694,-52.723385,71.773811,-2.716301,-80.163895,80.708382,78.277,-79.916069,73.559479,70.480705,-78.844345,96.744385,63.40155,-79.345062,96.310303,79.359261,-78.843094,81.014725,46.368824,-78.625183,86.740234,56.216557,-78.198776,97.704086,46.542912,-79.698219,62.749165,61.11372,-81.545815,64.505585,46.006161,-81.279716,63.342762,77.564636
26,0.216,-0.000165,0.00022,0.001283,0.999999,-52.239357,69.44809,33.019928,-51.768703,71.752373,68.765869,-51.772427,67.215897,68.924164,-52.691353,67.053413,-2.896288,-52.724953,71.770691,-2.714032,-51.769882,71.755989,68.759521,-51.771069,67.211151,68.935318,-52.692211,67.050896,-2.896278,-52.724171,71.77375,-2.717599,-80.165916,80.710327,78.281265,-79.91407,73.565475,70.487251,-78.839668,96.747032,63.385971,-79.328537,96.322334,79.352364,-78.834755,81.012688,46.371067,-78.626213,86.733292,56.216091,-78.200218,97.70224,46.539658,-79.700966,62.748642,61.124855,-81.52372,64.49675,46.013699,-81.316216,63.338726,77.571495
27,0.225,-0.000138,0.000193,0.00117,0.999999,-52.240826,69.447365,33.019348,-51.771545,71.749588,68.765434,-51.776302,67.213112,68.923485,-52.691452,67.054733,-2.897018,-52.724003,71.772018,-2.714506,-51.771473,71.755302,68.756714,-51.776344,67.206345,68.936417,-52.691425,67.053017,-2.898926,-52.724083,71.774315,-2.715774,-80.168266,80.716827,78.287415,-79.913918,73.568115,70.495102,-78.825844,96.747032,63.379681,-79.309082,96.333466,79.349602,-78.828499,81.009621,46.37384,-78.614517,86.734802,56.213333,-78.204834,97.698883,46.535954,-79.697212,62.751095,61.131882,-81.493515,64.491722,46.0205,-81.32711,63.35244,77.583107
