9,15,15,0.125,0.001001,-0.002027,-0.015758,0.999873,-52.995155,68.119034,32.153641,-52.586288,70.349396,67.821205,-53.352882,70.275238,-3.488407,-52.845276,65.852272,67.884918,-53.196198,65.999252,-3.603154,-52.527176,70.366707,67.849922,-53.452713,70.235649,-3.550741,-52.917801,65.829689,67.982468,-53.084488,66.045547,-3.717118,-67.993477,90.344093,27.394094,-68.564911,82.372559,16.999834,-68.001373,82.513275,49.101181,-67.696068,99.000534,31.812441,-66.886017,99.919144,48.865818,-68.259865,99.727493,15.518882,-68.499931,76.371758,38.483749,-70.550545,66.50087,48.893261,-69.731972,64.714973,33.061298,-70.033882,66.209259,16.801065
10,16,16,0.133,0.000987,-0.002008,-0.015388,0.999879,-52.992924,68.119583,32.154743,-52.584412,70.351265,67.822227,-53.353523,70.27449,-3.487355,-52.840073,65.853958,67.886093,-53.193687,65.998627,-3.601986,-52.529007,70.367004,67.849747,-53.45192,70.236572,-3.550435,-52.909088,65.833015,67.984604,-53.082401,66.04361,-3.720256,-68.024208,90.325172,27.39501,-68.586639,82.357231,17.011824,-67.979134,82.510384,49.095448,-67.700691,98.987663,31.810719,-66.89473,99.915222,48.863605,-68.266586,99.712502,15.51709,-68.509773,76.364883,38.486786,-70.54232,66.494247,48.904827,-69.702591,64.725807,33.080498,-70.0336,66.194389,16.807747
11,17,17,0.141,0.001004,-0.001993,-0.015944,0.99987,-52.994408,68.120544,32.155605,-52.582298,70.350479,67.823151,-53.353733,70.277145,-3.486407,-52.842949,65.853455,67.886864,-53.198647,66.001106,-3.601196,-52.528835,70.365425,67.849884,-53.45359,70.237701,-3.550629,-52.908726,65.83374,67.983093,-53.084446,66.048409,-3.724922,-68.05452,90.308884,27.395258,-68.597343,82.346092,17.016068,-67.962074,82.503906,49.08807,-67.723495,98.970886,31.80888,-66.899673,99.913353,48.860836,-68.274055,99.70298,15.516952,-68.507935,76.362076,38.486622,-70.525322,66.490532,48.911015,-69.688049,64.723366,33.087086,-70.032936,66.180511,16.814064
12,18,18,0.15,0.000997,-0.001969,-0.015754,0.999874,-52.991665,68.118416,32.158237,-52.578712,70.348999,67.825737,-53.353493,70.274391,-3.483784,-52.837658,65.851883,67.889526,-53.1968,65.998405,-3.598529,-52.527924,70.364037,67.849052,-53.452511,70.234612,-3.549021,-52.901978,65.831238,67.989372,-53.084576,66.046074,-3.719368,-68.094597,90.284645,27.400053,-68.607811,82.331734,17.018778,-67.952789,82.501312,49.08667,-67.72953,98.951225,31.807417,-66.905502,99.907532,48.854889,-68.280464,99.687943,15.515013,-68.499481,76.357964,38.486324,-70.498375,66.481819,48.907009,-69.685272,64.710213,33.091331,-70.031006,66.164848,16.817873
13,19,19,0.158,0.001011,-0.001921,-0.014151,0.999898,-52.988457,68.118553,32.156544,-52.579327,70.349625,67.824051,-53.360535,70.274178,-3.485399,-52.823849,65.851685,67.887756,-53.190128,65.998718,-3.600249,-52.528076,70.366013,67.84861,-53.453682,70.235359,-3.549141,-52.889843,65.828926,67.991028,-53.084934,66.045052,-3.716738,-68.127007,90.264603,27.399311,-68.613113,82.319489,17.017145,-67.950897,82.494125,49.085686,-67.736748,98.942322,31.803257,-66.913536,99.900284,48.851646,-68.283714,99.675697,15.513558,-68.492981,76.350098,38.484447,-70.475365,66.46553,48.90221,-69.667999,64.701424,33.094322,-70.029236,66.152313,16.817728
14,20,20,0.166,0.00102,-0.00192,-0.013306,0.999909,-52.989639,68.11776,32.152531,-52.584259,70.348999,67.820068,-53.365368,70.27327,-3.489369,-52.821182,65.850662,67.883705,-53.187744,65.998116,-3.604296,-52.528709,70.366653,67.848602,-53.454453,70.235275,-3.54877,-52.891136,65.827026,67.986794,-53.085621,66.043678,-3.720846,-68.148361,90.250168,27.396832,-68.620094,82.30957,17.010551,-67.953522,82.488197,49.080605,-67.743408,98.92926,31.798702,-66.919624,99.89315,48.845585,-68.28566,99.663666,15.509945,-68.482086,76.341141,38.479149,-70.438255,66.449997,48.893333,-69.648239,64.692429,33.087666,-70.026718,66.138374,16.816689
15,21,21,0.175,0.001008,-0.001964,-0.014696,0.99989,-52.991814,68.118248,32.154453,-52.583271,70.349045,67.821991,-53.358521,70.274109,-3.487533,-52.832706,65.851379,67.885696,-53.192772,65.998474,-3.60235,-52.527809,70.364403,67.849411,-53.453232,70.23613,-3.549018,-52.901016,65.831123,67.98468,-53.084057,66.044182,-3.722486,-68.17498,90.233734,27.388741,-68.626183,82.295341,17.006121,-67.958221,82.474007,49.079063,-67.751625,98.913696,31.797344,-66.926643,99.885399,48.839226,-68.289169,99.648788,15.504737,-68.471924,76.324974,38.469498,-70.396805,66.43383,48.889015,-69.611107,64.672363,33.080746,-70.028778,66.12941,16.809689
16,22,22,0.183,0.001,-0.001956,-0.015224,0.999882,-52.992672,68.120377,32.155418,-52.581173,70.351234,67.822922,-53.357704,70.276123,-3.486583,-52.83535,65.853844,67.886688,-53.196472,66.000313,-3.601342,-52.528023,70.366516,67.850983,-53.454353,70.238602,-3.553833,-52.902458,65.833061,67.988029,-53.087456,66.04493,-3.721444,-68.195312,90.218292,27.38069,-68.634163,82.28656,16.999367,-67.965393,82.460365,49.07523,-67.758659,98.900421,31.787813,-66.931999,99.877182,48.828098,-68.291176,99.639793,15.501468,-68.459953,76.310539,38.46093,-70.353561,66.417686,48.890404,-69.574928,64.649643,33.066158,-70.028976,66.119179,16.803503
17,23,23,0.191,0.001008,-0.001987,-0.015888,0.999871,-52.992905,68.119614,32.154987,-52.580635,70.349312,67.82254,-53.352882,70.276466,-3.487,-52.840786,65.852249,67.886223,-53.197319,66.000435,-3.601825,-52.525555,70.364655,67.85041,-53.452492,70.238075,-3.553019,-52.909046,65.831825,67.984467,-53.085293,66.045837,-3.720453,-68.212608,90.204353,27.377695,-68.641319,82.279625,16.992186,-67.972931,82.450363,49.074142,-67.764519,98.889732,31.78277,-66.961769,99.858368,48.830608,-68.29335,99.627975,15.498765,-68.447861,76.29628,38.452316,-70.287148,66.401215,48.892086,-69.53524,64.62896,33.055298,-70.034538,66.109848,16.797939
18,24,24,0.2,0.000986,-0.002035,-0.016623,0.999859,-52.995628,68.120178,32.155563,-52.583431,70.350807,67.823067,-53.349079,70.276016,-3.486553,-52.850204,65.854141,67.886917,-53.199802,65.999763,-3.601184,-52.526493,70.36676,67.850647,-53.453278,70.235657,-3.549682,-52.919346,65.833527,67.980415,-53.082336,66.047272,-3.720301,-68.225075,90.192581,27.374155,-68.650879,82.271523,16.982567,-67.976257,82.44046,49.070187,-67.773972,98.873871,31.78384,-66.979813,99.844795,48.82436,-68.293137,99.620277,15.492008,-68.441757,76.276718,38.445621,-70.210281,66.389481,48.89172,-69.478867,64.614311,33.043922,-70.039162,66.096718,16.788155
