,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1242,Unlabeled 1242,Unlabeled 1242,Unlabeled 1243,Unlabeled 1243,Unlabeled 1243,Unlabeled 1244,Unlabeled 1244,Unlabeled 1244,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249,Unlabeled 1250,Unlabeled 1250,Unlabeled 1250,Unlabeled 1251,Unlabeled 1251,Unlabeled 1251
,ID,9F99E9165EB73211EE,9F99E9165EB73211EE,9F99E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
135,1.125,-58.573944,127.253113,22.521423,-78.180489,97.976265,36.668381,-97.017014,71.363541,53.505337,-101.888428,79.22126,25.389421,-53.188019,162.092834,28.316662,-69.467812,114.871002,57.730568,-69.812981,120.736,-4.403919,-54.678417,167.544724,60.991943,-55.619629,167.428894,-7.233658,-91.538162,73.947495,4.873955
136,1.133,-57.605137,128.281387,22.417549,-76.435364,98.613014,36.476143,-96.026215,72.406013,53.398335,-100.38884,79.954491,25.189764,-52.980751,163.263641,28.298239,-68.3498,115.681625,57.854675,-68.827034,121.594826,-4.608685,-54.703636,168.591492,60.972095,-55.546112,168.647507,-7.211251,-90.362305,74.842651,4.740889
137,1.141,-56.625114,129.295334,22.38129,-74.80204,99.220505,36.238499,-95.102005,73.422714,53.287334,-98.894424,80.646172,24.983782,-52.731842,164.384918,28.314882,-67.201385,116.509987,57.976868,-67.858826,122.474991,-4.822861,-54.769684,169.611877,60.971729,-55.521168,169.794266,-7.177756,-89.253159,75.676964,4.562957
138,1.149,-55.671196,130.320526,22.265503,-73.153427,99.807251,36.014256,-94.133186,74.450462,53.203362,-97.352287,81.291763,24.735691,-52.578484,165.465836,28.304649,-65.994072,117.343842,57.996811,-66.91301,123.280251,-5.03139,-54.843384,170.600739,60.973488,-55.52993,170.930023,-7.143198,-88.080994,76.49395,4.371
139,1.158,-54.632736,131.457886,22.2232,-71.330353,100.462639,35.758518,-93.021141,75.594193,53.103054,-95.586571,81.960274,24.435476,-52.427376,166.646545,28.316179,-64.589653,118.236794,57.940811,-65.821198,124.168411,-5.334989,-54.931305,171.669693,60.962337,-55.552429,172.120132,-7.120556,-86.782379,77.378044,4.125697
140,1.166,-53.833328,132.478302,22.146051,-69.772163,101.02594,35.507126,-92.015015,76.637787,53.014668,-93.980148,82.501083,24.159332,-52.406467,167.66333,28.30463,-63.310879,118.969093,57.8209,-64.824173,124.918282,-5.622206,-55.026627,172.579529,60.965202,-55.586441,173.122894,-7.118064,-85.598663,78.128723,3.859996
141,1.175,-52.918278,133.597748,22.094603,-68.007851,101.635483,35.247334,-90.85154,77.793953,52.944088,-92.147606,83.06295,23.845098,-52.289986,168.797089,28.333754,-61.874474,119.743752,57.654797,-63.69466,125.722549,-5.96976,-55.155212,173.565689,60.984646,-55.681377,174.177017,-7.110895,-84.199257,78.936974,3.553091
142,1.183,-52.136742,134.569519,21.992571,-66.462219,102.178101,35.032742,-89.856514,78.825775,52.926147,-90.489143,83.506233,23.585785,-52.333649,169.747238,28.342285,-60.558529,120.339348,57.493706,-62.653835,126.419083,-6.312511,-55.254704,174.38501,60.975658,-55.777287,175.060516,-7.111201,-83.00988,79.586021,3.206999
143,1.191,-51.433151,135.510208,21.901896,-64.970596,102.702927,34.804127,-88.830383,79.843971,52.903294,-88.795792,83.861183,23.323694,-52.405186,170.657654,28.337912,-59.225189,120.883118,57.368534,-61.637859,127.092445,-6.652608,-55.391972,175.212891,61.014111,-55.877232,175.878387,-7.12646,-81.748024,80.199089,2.870161
144,1.199,-50.787483,136.411774,21.815575,-63.43721,103.243744,34.616035,-87.765312,80.88485,52.907379,-87.08596,84.19664,23.071377,-52.487095,171.539413,28.350723,-57.854729,121.407028,57.243484,-60.674305,127.750603,-6.939493,-55.546154,176.015167,61.041641,-55.99633,176.645248,-7.156003,-80.512512,80.762711,2.491874
145,1.208,-50.125961,137.384338,21.727814,-61.737694,103.863167,34.40773,-86.594841,82.039131,52.946239,-85.128853,84.485664,22.819481,-52.65464,172.510178,28.377083,-56.296551,122.023186,57.144409,-59.644211,128.462143,-7.214608,-55.718647,176.892334,61.070908,-56.133739,177.461792,-7.196197,-79.114204,81.359825,2.016771
146,1.216,-49.548935,138.225311,21.680525,-60.25132,104.423462,34.235622,-85.521225,83.06604,52.974617,-83.400055,84.669998,22.589664,-52.885509,173.313721,28.369892,-54.886417,122.680496,57.045799,-58.771072,129.076599,-7.423346,-55.878067,177.642136,61.073963,-56.281483,178.157043,-7.223372,-77.859718,81.86718,1.565685
147,1.225,-48.944901,139.158401,21.636971,-58.592457,105.10186,34.053249,-84.299759,84.21917,53.009491,-81.36969,84.844292,22.387569,-53.145164,174.154572,28.338448,-53.352253,123.590782,56.872921,-57.837753,129.744461,-7.643951,-56.065063,178.459686,61.06773,-56.44495,178.913864,-7.274437,-76.334404,82.410019,1.015665
148,1.233,-48.467533,139.971786,21.612869,-57.158821,105.719986,33.873684,-83.222458,85.270348,53.031986,-79.557053,84.92305,22.221479,-53.385483,174.909744,28.289673,-52.129139,124.528168,56.599731,-57.046288,130.335083,-7.834864,-56.209015,179.14856,61.058044,-56.579292,179.550949,-7.321411,-74.99955,82.862053,0.46301
149,1.241,-48.029839,140.783173,21.610996,-55.735428,106.339394,33.719406,-82.160461,86.261032,53.026516,-77.718452,84.969269,22.076897,-53.50930738,175.5536207,28.25272605,-51.140659,125.432602,56.214596,-56.28532,130.935852,-8.04384,-56.333767,179.811569,61.01226,-56.712936,180.153488,-7.371539,-73.700539,83.267097,-0.1197
150,1.25,-47.57008,141.688568,21.617151,-54.253613,107.041527,33.551941,-81.025246,87.377556,52.965702,-75.619576,84.974113,21.927694,-53.70046848,176.2633817,28.22908332,-50.270851,126.345955,55.778355,-55.47493,131.606155,-8.292251,-56.523758,180.537399,60.982628,-56.860645,180.771606,-7.449179,-72.202065,83.717773,-0.822145
151,1.258,-47.195038,142.468674,21.634563,-52.976967,107.676636,33.421207,-80.042053,88.274246,52.860909,-73.686562,84.979416,21.788185,-53.914142,176.8469151,28.24128362,-49.689407,127.058052,55.484688,-54.831951,132.176453,-8.509237,-56.73344,181.121719,60.999107,-57.022511,181.307175,-7.462201,-70.872948,84.079712,-1.499074
152,1.266,-46.855556,143.235596,21.651836,-51.738834,108.31691,33.29911,-79.062988,89.155701,52.696175,-71.68074,85.006943,21.654163,-54.13164438,177.4366159,28.22448117,-49.222523,127.705093,55.250359,-54.231812,132.731491,-8.765571,-56.94442,181.699722,60.976864,-57.191383,181.806183,-7.489677,-69.568031,84.419098,-2.210861
153,1.274,-46.539097,143.947723,21.658972,-50.569111,108.924957,33.211632,-78.124977,89.933678,52.416344,-69.645332,85.051964,21.53248,-54.34842938,178.0448839,28.2030152,-48.822372,128.365509,55.071686,-53.671219,133.300705,-9.027121,-57.152771,182.261093,60.94891,-57.361317,182.260956,-7.54297,-68.300293,84.714378,-2.955786
154,1.283,-46.208668,144.733673,21.674744,-49.263168,109.605026,33.095421,-77.050842,90.795738,51.991608,-67.380478,85.133247,21.398397,-54.60068681,178.5716487,28.16329818,-48.437714,129.106873,54.945927,-53.069622,133.896667,-9.291192,-57.393593,182.87912,60.899101,-57.547314,182.767517,-7.589855,-66.894707,85.022491,-3.830645
155,1.291,-45.929543,145.386642,21.672476,-48.17947,110.199776,33.017315,-75.983002,91.609528,51.545071,-65.411545,85.275352,21.283258,-54.82594472,179.0367871,28.13592685,-48.119831,129.715042,54.831348,-52.614803,134.386856,-9.524691,-57.607048,183.400391,60.865952,-57.699768,183.1745,-7.649684,-65.657875,85.292244,-4.63344
156,1.3,-45.667896,146.06282,21.653837,-46.932308,110.909782,32.909119,-74.677147,92.46386,50.96143,-63.24868,85.477432,21.207527,-55.0659172,179.5534217,28.07291778,-47.818718,130.389435,54.76976,-52.148026,134.923355,-9.76879,-57.833916,183.971939,60.788582,-57.863937,183.594101,-7.672445,-64.358299,85.519379,-5.597473
157,1.308,-45.455254,146.633179,21.636656,-45.901131,111.486961,32.847656,-73.363098,93.152649,50.418716,-61.499344,85.603035,21.141117,-55.31286037,179.9865583,28.02721824,-47.560719,130.93483,54.696281,-51.768406,135.377426,-9.955953,-58.066719,184.444565,60.732399,-58.030247,183.962936,-7.716982,-63.152374,85.776535,-6.495594
158,1.316,-45.253941,147.162079,21.605398,-44.901512,112.061646,32.78775,-71.824524,93.767944,49.835075,-59.794682,85.716072,21.088896,-55.55856719,180.4014693,27.9672685,-47.355549,131.486328,54.65308,-51.426548,135.803192,-10.129688,-58.29681,184.89328,60.659428,-58.175556,184.323959,-7.775434,-62.072937,86.036026,-7.406537
159,1.324,-45.077003,147.661331,21.592844,-43.878784,112.631653,32.725979,-70.168327,94.324158,49.264366,-58.151329,85.800415,21.068794,-55.78172184,180.8080455,27.92847322,-47.171947,131.986374,54.61129,-51.151604,136.200897,-10.291201,-58.505863,185.328934,60.61039,-58.314812,184.648407,-7.820924,-61.003475,86.356827,-8.335484
160,1.333,-44.891415,148.200516,21.56814,-42.798626,113.276817,32.684551,-68.261513,94.832657,48.645512,-56.262363,85.941147,21.014856,-56.03474237,181.2302618,27.85619876,-47.025627,132.536865,54.575085,-50.878342,136.60379,-10.439546,-58.742546,185.779083,60.518284,-58.495964,184.999054,-7.86703,-59.839268,86.789207,-9.39851
161,1.341,-44.759624,148.636703,21.552185,-41.887001,113.816238,32.68811,-66.506256,95.183456,48.098858,-54.6003,86.092339,21.010387,-56.25642531,181.5802671,27.79226084,-46.910347,132.985519,54.551991,-50.6922,136.939911,-10.533549,-58.948505,186.150208,60.430794,-58.638,185.299255,-7.938457,-59.07103,87.155563,-10.253308
162,1.35,-44.663857,149.103409,21.53273,-40.886913,114.43367,32.73254,-64.493919,95.466103,47.509399,-52.754475,86.279617,20.972998,-56.50252989,181.9545976,27.74711782,-46.78989,133.456909,54.533733,-50.487446,137.329941,-10.628821,-59.175259,186.545151,60.364754,-58.806187,185.607941,-7.967039,-58.285301,87.585083,-11.116398
163,1.358,-44.57473,149.485153,21.530008,-40.115273,114.909599,32.77277,-62.725632,95.621422,46.973618,-51.127094,86.4692,20.92671,-56.72925234,182.2581383,27.70097023,-46.715019,133.844986,54.529278,-50.315083,137.644379,-10.673954,-59.38261,186.863968,60.293144,-58.960426,185.839523,-8.026878,-57.685566,87.947456,-11.746127
164,1.366,-44.505379,149.83403,21.524487,-39.389446,115.37825,32.825474,-60.884251,95.654022,46.477242,-49.517532,86.68354,20.904566,-56.94935536,182.5400935,27.660266,-46.653072,134.205383,54.515255,-50.108673,137.946426,-10.711738,-59.584194,187.158783,60.230225,-59.113907,186.07254,-8.06549,-57.0844,88.301178,-12.203987
165,1.375,-44.481949,150.164383,21.490585,-38.623814,115.90477,32.848732,-58.789246,95.576149,45.952255,-47.838448,86.886955,20.903955,-57.18605343,182.8281666,27.63260091,-46.59483,134.580109,54.50322,-49.872288,138.272675,-10.721586,-59.799587,187.459213,60.187901,-59.276379,186.313232,-8.092178,-56.600529,88.429634,-12.300697
166,1.383,-44.460167,150.443069,21.459249,-37.981007,116.328278,32.909058,-56.864887,95.396492,45.559425,-46.311115,87.151169,20.890417,-57.40382728,183.056616,27.59897813,-46.523075,134.884201,54.47958,-49.611794,138.53418,-10.708489,-59.99638,187.69693,60.136402,-59.427177,186.502106,-8.119367,-56.096935,88.409821,-12.166763
167,1.391,-44.524822,150.672852,21.438221,-37.298794,116.790268,32.993999,-54.956066,95.129517,45.195301,-44.84037,87.363365,20.862421,-57.6241643,183.2590688,27.57853849,-46.454037,135.15361,54.45702,-49.309643,138.774872,-10.667813,-60.193295,187.907059,60.106445,-59.578968,186.678085,-8.140138,-55.476849,88.347473,-11.876359
168,1.399,-44.564827,150.870483,21.437025,-36.837017,117.12326,33.080273,-52.993835,94.780853,44.913136,-43.443577,87.596107,20.903067,-57.84633539,183.4363935,27.55182418,-46.39909,135.41449,54.421162,-48.994019,139.005203,-10.608913,-60.392029,188.090561,60.068321,-59.731888,186.840363,-8.123818,-54.820103,88.307869,-11.418214
169,1.408,-44.63026,151.069778,21.432371,-36.316395,117.528572,33.199043,-50.849838,94.325569,44.627895,-41.849651,87.823364,20.92094,-58.08508216,183.6065096,27.53829575,-46.30798,135.631546,54.406582,-48.648689,139.246765,-10.537005,-60.605492,188.265976,60.048325,-59.906311,186.974411,-8.161657,-53.820145,88.394287,-10.829086
170,1.416,-44.723812,151.211426,21.445824,-35.89352,117.847534,33.3419,-48.918568,93.804283,44.450233,-40.505001,88.032196,21.018604,-58.30004254,183.7254282,27.52059965,-46.219097,135.826462,54.397003,-48.338421,139.422607,-10.448302,-60.798836,188.387985,60.020184,-60.05777,187.069672,-8.140862,-52.742386,88.667252,-10.373209
171,1.425,-44.863098,151.345428,21.444527,-35.452438,118.164444,33.454643,-46.767342,93.133705,44.28352,-39.018482,88.231651,21.139565,-58.52911494,183.8279014,27.51629803,-46.097652,135.980804,54.379143,-48.072441,139.597076,-10.322824,-61.006279,188.492661,60.012825,-60.231709,187.148849,-8.118401,-51.403255,88.905357,-9.86139
172,1.433,-44.944061,151.424973,21.474455,-35.091721,118.403862,33.571224,-44.8181,92.432259,44.221119,-37.571373,88.495697,21.295597,-58.74330906,183.8789839,27.52094587,-46.04496,136.092529,54.404606,-47.843956,139.677826,-10.209564,-61.201565,188.544693,60.021503,-60.395378,187.179932,-8.106095,-50.06966,89.061859,-9.412245
173,1.441,-45.073109,151.470749,21.517494,-34.738712,118.599785,33.646099,-42.866283,91.619667,44.216286,-36.23708,88.706795,21.48448,-58.94159189,183.9074327,27.50821015,-45.985733,136.169739,54.448044,-47.689274,139.743011,-10.092281,-61.382179,188.573593,59.99477,-60.569046,187.188492,-8.118395,-48.719799,89.115105,-8.993747
174,1.449,-45.191837,151.482437,21.558031,-34.403454,118.770073,33.731606,-40.889332,90.716347,44.290539,-34.944145,88.878075,21.675724,-59.12288235,183.8946017,27.49653156,-45.960842,136.207901,54.519699,-47.584328,139.764862,-9.961759,-61.549194,188.560577,59.96954,-60.736732,187.162994,-8.103121,-47.317677,89.107094,-8.569171
175,1.458,-45.319542,151.463852,21.596281,-34.042339,118.912148,33.851643,-38.610767,89.575912,44.514889,-33.515251,89.055885,21.852249,-59.34287775,183.8355484,27.49259033,-45.958721,136.191254,54.625351,-47.536713,139.745102,-9.837044,-61.75267,188.500732,59.961052,-60.92012,187.104065,-8.067023,-45.642014,89.009117,-8.142446
176,1.466,-45.427227,151.418533,21.629051,-33.762215,118.989708,33.950813,-36.502743,88.456924,44.89706,-32.216331,89.288757,22.00864,-59.5258928,183.7425521,27.48281586,-45.965626,136.111099,54.720413,-47.560505,139.639023,-9.698017,-61.920948,188.406555,59.940666,-61.095978,186.999161,-8.031809,-44.169846,88.816177,-7.769897
177,1.475,-45.57093,151.33316,21.689495,-33.451172,119.027412,34.066849,-34.03627,87.234398,45.609394,-30.610012,89.604584,22.155479,-59.72086888,183.5998844,27.47045384,-45.978565,135.996002,54.795086,-47.652431,139.497528,-9.558673,-62.099792,188.262253,59.914692,-61.279633,186.846146,-8.015335,-42.48951,88.549957,-7.415451
178,1.483,-45.675285,151.206528,21.735538,-33.188118,119.029358,34.194885,-31.886894,86.311226,46.564049,-29.285204,89.778862,22.201458,-59.87463202,183.4263668,27.46424775,-46.017952,135.87027,54.825287,-47.771816,139.319687,-9.438224,-62.241722,188.086945,59.901203,-61.439957,186.677582,-7.97813,-40.947994,88.260475,-7.164822
179,1.491,-45.773842,151.049347,21.773607,-32.951458,119.01722,34.287609,-30.122375,86.478111,48.121117,-27.907717,89.998466,22.242859,-60.01055836,183.2043945,27.45781054,-46.002228,135.687714,54.838978,-47.888821,139.089767,-9.288023,-62.366051,187.862961,59.885681,-61.598839,186.461014,-7.96759,-39.405594,87.957344,-6.972156
180,1.5,-45.886745,150.849213,21.82259,-32.662231,118.924019,34.385418,-28.564247,87.227242,49.7808,-26.450485,90.1791,22.261368,-60.15412366,182.908864,27.45364129,-45.950802,135.423416,54.833023,-48.035751,138.785324,-9.117521,-62.496227,187.565216,59.874344,-61.760498,186.17186,-7.959764,-37.705402,87.626518,-6.828197
181,1.508,-45.990013,150.61293,21.88084,-32.409737,118.828163,34.470566,-27.204762,88.231644,51.058937,-25.100761,90.407951,22.279373,-60.27711036,182.6081867,27.44790984,-45.906181,135.140167,54.824524,-48.177216,138.465729,-8.948006,-62.60783,187.262726,59.856945,-61.895454,185.879868,-7.939838,-36.212982,87.426392,-6.793804
182,1.516,-46.085476,150.351974,21.922235,-32.162075,118.709351,34.543758,-25.842768,89.251587,52.030128,-23.884605,90.585915,22.350506,-60.39410568,182.2722291,27.4409672,-45.902142,134.825256,54.841263,-48.27103,138.124039,-8.760098,-62.711407,186.925491,59.832161,-62.039482,185.535675,-7.927481,-34.770866,87.410912,-6.836161
183,1.524,-46.099239,150.067322,21.9834,-31.881937,118.548294,34.630123,-24.431538,90.237297,52.801914,-22.639021,90.767517,22.458889,-60.5108713,181.8916531,27.43722964,-45.886131,134.505249,54.876255,-48.302826,137.746918,-8.552657,-62.814747,186.544083,59.818249,-62.168633,185.163803,-7.933386,-33.434113,87.505554,-6.884687
184,1.533,-46.132477,149.702866,22.043324,-31.557894,118.351707,34.74453,-22.855944,91.209435,53.448517,-21.304028,90.975784,22.606226,-60.62742889,181.4244994,27.42924221,-45.905159,134.096085,54.924931,-48.263351,137.315948,-8.327356,-62.914402,186.076599,59.781246,-62.306946,184.706085,-7.961506,-32.002552,87.695488,-6.921151
185,1.541,-46.187408,149.346436,22.103539,-31.267666,118.134033,34.81712,-21.491703,91.992958,53.88261,-20.155245,91.08728,22.708187,-60.75403145,180.9521955,27.4281942,-45.931423,133.695465,54.965527,-48.187077,136.928116,-8.133795,-63.021954,185.604828,59.775673,-62.433636,184.2677,-8.00218,-30.824369,87.887779,-6.94682
186,1.55,-46.17564,148.897308,22.173695,-30.920612,117.880585,34.922394,-19.960455,92.711967,54.206837,-18.823826,91.271767,22.808819,-60.25988,180.609787,27.231609,-45.92577,133.194641,54.953079,-48.031933,136.461594,-7.910432,-63.134911,185.017975,59.74691,-62.575932,183.731674,-7.983178,-29.549513,88.037918,-6.937562
187,1.558,-46.172493,148.471222,22.227451,-30.598789,117.597214,35.021816,-18.640842,93.194572,54.362595,-17.669464,91.386879,22.862473,-60.436344,180.112442,27.211723,-45.915325,132.720139,54.910995,-47.85601,136.043701,-7.735802,-63.218403,184.473602,59.707546,-62.699997,183.223648,-8.016302,-28.439898,88.136261,-6.939773
188,1.566,-46.144833,148.014389,22.281317,-30.257597,117.277054,35.113411,-17.33201,93.549744,54.402077,-16.675137,91.401749,22.915384,-60.605633,179.590851,27.245012,-45.849068,132.199493,54.807411,-47.631138,135.604782,-7.576744,-63.299931,183.869354,59.653439,-62.806789,182.680435,-8.070138,-27.359095,88.132263,-6.867906
189,1.575,-46.109329,147.469681,22.337965,-29.872528,116.872215,35.223476,-15.897618,93.761536,54.406757,-15.587364,91.385437,22.916897,-60.772369,178.919617,27.197929,-45.746613,131.567795,54.719101,-47.367294,135.106232,-7.420396,-63.386005,183.153305,59.61792,-62.930725,182.037659,-8.075114,-26.153687,88.063934,-6.778238
190,1.583,-46.104897,146.939163,22.37372,-29.520174,116.481544,35.309456,-14.69136,93.845421,54.366158,-14.550803,91.314644,22.952309,-60.927921,178.280685,27.144629,-45.633476,130.968658,54.641258,-47.095264,134.62796,-7.290205,-63.476288,182.478714,59.570629,-63.047344,181.428986,-8.112691,-25.068899,87.941078,-6.640457
191,1.591,-46.085136,146.384338,22.400877,-29.160246,116.029739,35.382954,-13.559876,93.84642,54.348911,-13.551074,91.231544,22.966194,-61.079483,177.617508,27.070177,-45.486656,130.332977,54.592983,-46.816643,134.115189,-7.194248,-63.57869,181.759674,59.528221,-63.148499,180.791824,-8.146333,-24.014545,87.772667,-6.510449
192,1.6,-46.12151,145.703812,22.376081,-28.767845,115.495911,35.467739,-12.358463,93.752136,54.33939,-12.456722,91.114166,22.983896,-61.237843,176.825821,26.996876,-45.310844,129.60556,54.551666,-46.473507,133.520264,-7.085992,-63.68298,180.922607,59.486465,-63.248627,180.047104,-8.146885,-22.882484,87.50489,-6.365115
193,1.608,-45.992199,145.088837,22.362711,-28.406984,114.998795,35.543339,-11.336369,93.623657,54.36623,-11.504082,91.015022,22.9993,-61.363297,176.071304,26.968676,-45.113888,128.946518,54.51033,-46.157032,132.979889,-6.999115,-63.787407,180.119705,59.432663,-63.341385,179.343063,-8.143997,-21.90591,87.235626,-6.22706
194,1.616,-45.856564,144.439041,22.319044,-28.030132,114.443459,35.577019,-10.364357,93.457184,54.393555,-10.542829,90.921471,23.068468,-61.4888,175.26387,26.942322,-44.911366,128.271301,54.45977,-45.775921,132.419479,-6.899458,-63.889019,179.291306,59.398628,-63.432152,178.618881,-8.152791,-20.940756,86.901535,-6.069007
195,1.625,-45.901497,143.585785,22.209517,-27.603844,113.796577,35.612747,-9.294111,93.215935,54.443741,-9.486103,90.781654,23.158295,-61.626286,174.341553,26.889431,-44.644077,127.490829,54.355591,-45.360443,131.753494,-6.806626,-63.978897,178.339645,59.347481,-63.498096,177.746368,-8.147391,-19.921463,86.516365,-5.881053
196,1.633,-45.77121,142.818359,22.111506,-27.238405,113.221062,35.641884,-8.355851,92.935112,54.484516,-8.580169,90.592094,23.263472,-61.729477,173.45311,26.897615,-44.40646,126.788345,54.199581,-44.973461,131.161179,-6.735897,-64.077766,177.447983,59.307365,-63.560341,176.958221,-8.115439,-19.020561,86.146019,-5.718035
197,1.641,-45.585644,142.040161,21.998655,-26.849264,112.596718,35.629982,-7.421044,92.591621,54.513477,-7.714706,90.36676,23.38151,-61.837292,172.551239,26.87512,-44.121952,126.011597,54.052998,-44.56287,130.54631,-6.681285,-64.170425,176.525879,59.268005,-63.612473,176.128143,-8.146577,-18.169432,85.734505,-5.551682
198,1.649,-45.359356,141.245087,21.898659,-26.448318,111.952225,35.603558,-6.538598,92.230461,54.54628,-6.886481,90.127029,23.521032,-61.957054,171.610718,26.919353,-43.852562,125.226936,53.92593,-44.125851,129.89978,-6.640585,-64.244789,175.579086,59.236343,-63.649715,175.291077,-8.122997,-17.319412,85.308449,-5.374817
199,1.658,-45.074844,140.30661,21.778933,-26.011614,111.210609,35.579227,-5.594059,91.759964,54.567451,-5.993676,89.866463,23.683418,-62.08741,170.5233,26.95883,-43.449341,124.312439,53.811462,-43.608604,129.18515,-6.620841,-64.321014,174.48439,59.211563,-63.687687,174.317032,-8.105573,-16.390457,84.810562,-5.217304
200,1.666,-44.809002,139.461777,21.685768,-25.635073,110.517647,35.537964,-4.836436,91.350815,54.611977,-5.206853,89.614548,23.830311,-62.185104,169.519669,26.985872,-43.074348,123.489777,53.756149,-43.138344,128.516342,-6.630798,-64.372307,173.484406,59.183483,-63.715351,173.420654,-8.093218,-15.565891,84.339073,-5.07407
201,1.675,-44.49033,138.47374,21.579855,-25.216532,109.711052,35.508938,-4.051437,90.854767,54.658951,-4.357009,89.29641,23.998323,-62.284576,168.384583,26.995737,-42.626892,122.586998,53.783615,-42.586029,127.789536,-6.679438,-64.47052,172.357651,59.203022,-63.734055,172.388901,-8.083894,-14.627634,83.792885,-4.922236
202,1.683,-44.210686,137.574951,21.512808,-24.839357,108.97406,35.474209,-3.400039,90.396866,54.735928,-3.668768,88.98085,24.107338,-62.363159,167.343414,26.986042,-42.201649,121.754028,53.797592,-42.061436,127.143883,-6.760404,-64.510704,171.310242,59.19875,-63.759876,171.461945,-8.064393,-13.861047,83.324432,-4.843292
203,1.691,-43.926254,136.672943,21.499531,-24.461672,108.225479,35.446712,-2.732749,89.875885,54.779148,-3.014572,88.611534,24.234127,-62.422447,166.289017,26.977781,-41.799736,120.905556,53.868061,-41.522057,126.500412,-6.814944,-64.531494,170.249115,59.184933,-63.784374,170.520065,-8.024623,-13.07527,82.810188,-4.712952
204,1.7,-43.621616,135.662491,21.516033,-24.029766,107.362625,35.410587,-2.028261,89.274071,54.871048,-2.298184,88.160118,24.287975,-62.490509,165.079605,26.95089,-41.30447,119.940338,53.919357,-40.906738,125.764694,-6.871844,-64.542343,169.0383,59.186543,-63.810062,169.428421,-7.989823,-12.197701,82.210022,-4.569916
205,1.708,-43.323986,134.752594,21.531904,-23.656754,106.572174,35.368877,-1.388754,88.670258,54.941792,-1.669654,87.744904,24.398731,-62.509773,163.979614,26.936934,-40.882187,119.072899,53.974987,-40.335556,125.109795,-6.893379,-64.563515,167.955978,59.190811,-63.81662,168.442734,-7.945193,-11.415568,81.671486,-4.484419
206,1.716,-42.998138,133.834,21.529497,-23.262693,105.760933,35.338242,-0.782047,88.032616,55.032097,-1.038402,87.277931,24.383396,-62.51561,162.844925,26.959982,-40.465775,118.203438,54.039486,-39.759232,124.434494,-6.920275,-64.566818,166.857697,59.193535,-63.820702,167.430695,-7.901989,-10.638463,81.085747,-4.397837
207,1.725,-42.616913,132.788452,21.502249,-22.811543,104.867195,35.317589,-0.094979,87.258049,55.115181,-0.299978,86.746613,24.334227,-62.500034,161.534515,26.994837,-39.972507,117.219269,54.060036,-39.125706,123.712036,-6.947579,-64.576477,165.620392,59.184097,-63.826443,166.274872,-7.854491,-9.803347,80.463387,-4.375273
208,1.733,-42.271679,131.866516,21.465849,-22.412968,104.079842,35.298851,0.498496,86.519875,55.205006,0.364989,86.299065,24.351145,-62.475307,160.346024,27.029587,-39.546417,116.352638,54.112053,-38.54266,123.040863,-6.942417,-64.579865,164.505997,59.180183,-63.826157,165.210693,-7.806957,-9.035233,79.895699,-4.345407
209,1.741,-41.887333,130.935425,21.434439,-21.999708,103.288635,35.287628,1.081,85.740021,55.286716,1.054597,85.83812,24.321161,-62.437023,159.169083,27.067026,-39.067089,115.476013,54.151405,-37.990685,122.363876,-6.936931,-64.569214,163.375488,59.173988,-63.817204,164.142441,-7.785355,-8.323172,79.317833,-4.36356
210,1.75,-41.483326,129.900803,21.389244,-21.505516,102.341438,35.272247,1.70984,84.824219,55.383778,1.830404,85.316338,24.27479,-62.413467,157.840698,27.10298,-38.513336,114.476646,54.249138,-37.402344,121.565628,-6.941088,-64.544678,162.093475,59.144169,-63.81147,162.936569,-7.746564,-7.486314,78.639954,-4.390643
