,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1242,Unlabeled 1242,Unlabeled 1242,Unlabeled 1243,Unlabeled 1243,Unlabeled 1243,Unlabeled 1244,Unlabeled 1244,Unlabeled 1244,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249,Unlabeled 1250,Unlabeled 1250,Unlabeled 1250,Unlabeled 1251,Unlabeled 1251,Unlabeled 1251
,ID,9F99E9165EB73211EE,9F99E9165EB73211EE,9F99E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,0.175,-116.774734,100.135513,25.43388,-118.858063,65.745461,38.49091,-120.463478,34.467941,58.489449,-119.256592,35.897015,26.492399,-114.995911,135.466629,31.20689,-116.740204,85.958366,59.9207,-120.31221,91.21817,-2.242746,-114.546776,140.455215,64.014839,-116.717949,139.311356,-4.537038,-120.321831,39.092793,-6.463292
22,0.183,-116.759178,100.125816,25.428326,-118.86911,65.740677,38.487892,-120.519684,34.453163,58.487778,-119.308426,35.877346,26.486382,-114.994446,135.458374,31.21311,-116.750572,85.947189,59.920929,-120.342926,91.212372,-2.23533,-114.539597,140.440277,64.018402,-116.712662,139.308029,-4.529277,-120.450928,39.099506,-6.485083
23,0.191,-116.73938,100.116264,25.424068,-118.877281,65.729279,38.484337,-120.560608,34.441101,58.483517,-119.339943,35.871307,26.482439,-114.991905,135.44368,31.226141,-116.760658,85.938332,59.922009,-120.406235,91.1978,-2.217523,-114.538017,140.426453,64.023712,-116.703918,139.303223,-4.524068,-120.556831,39.099197,-6.50282
24,0.2,-116.713654,100.10704,25.418982,-118.88633,65.718361,38.482738,-120.603371,34.430828,58.47683,-119.365646,35.868351,26.482534,-114.987961,135.422226,31.235415,-116.771492,85.925278,59.919662,-120.444069,91.189026,-2.200656,-114.537048,140.411987,64.030853,-116.693542,139.293732,-4.518147,-120.708336,39.114986,-6.522976
25,0.208,-116.687759,100.09687,25.419655,-118.893471,65.708588,38.479633,-120.646881,34.417641,58.471508,-119.39138,35.864429,26.479609,-114.983597,135.408813,31.239182,-116.781509,85.910553,59.925045,-120.4645,91.185555,-2.197937,-114.530693,140.393616,64.041031,-116.684761,139.284805,-4.513126,-120.806885,39.110058,-6.535314
26,0.216,-116.645416,100.084595,25.421303,-118.900909,65.694138,38.475098,-120.686127,34.40303,58.466103,-119.417366,35.857845,26.473602,-114.978683,135.393539,31.241205,-116.795876,85.897652,59.924603,-120.479919,91.183891,-2.201483,-114.529572,140.379257,64.045242,-116.675735,139.276825,-4.508646,-120.944168,39.086678,-6.532839
27,0.225,-116.594208,100.085785,25.422844,-118.907669,65.684441,38.471813,-120.724258,34.388382,58.461498,-119.447624,35.848667,26.465443,-114.971115,135.377335,31.24342,-116.813614,85.880806,59.923641,-120.496544,91.185318,-2.20499,-114.52861,140.359756,64.050499,-116.646645,139.268677,-4.50788,-121.059242,39.073021,-6.540695
28,0.233,-116.565369,100.074135,25.429995,-118.91407,65.668175,38.470139,-120.751862,34.373886,58.457409,-119.475914,35.836143,26.458475,-114.976738,135.35524,31.235855,-116.829491,85.863289,59.92046,-120.521858,91.175125,-2.204537,-114.525116,140.342468,64.054176,-116.631996,139.257019,-4.503084,-121.155884,39.068085,-6.554482
29,0.241,-116.550316,100.052055,25.420624,-118.916725,65.652695,38.468422,-120.790565,34.351952,58.45388,-119.502975,35.82526,26.453743,-114.961647,135.33078,31.221338,-116.86264,85.844658,59.927803,-120.555321,91.158905,-2.198085,-114.523041,140.317734,64.056412,-116.621361,139.243866,-4.4982,-121.278038,39.039356,-6.573623
30,0.25,-116.534874,100.031898,25.411341,-118.918625,65.641205,38.46484,-120.814072,34.328415,58.448536,-119.567665,35.795929,26.451958,-114.951797,135.307556,31.217602,-116.900726,85.819252,59.924362,-120.591713,91.14492,-2.197122,-114.518234,140.285629,64.069489,-116.609367,139.227463,-4.491274,-121.367393,39.035057,-6.596798
31,0.258,-116.520897,100.013687,25.408926,-118.919083,65.611076,38.462502,-120.831406,34.318344,58.440792,-119.607567,35.772808,26.446196,-114.946838,135.290009,31.224792,-116.939835,85.791771,59.930248,-120.618462,91.13166,-2.195722,-114.508354,140.261658,64.076988,-116.602051,139.209991,-4.490313,-121.491829,39.008446,-6.597753
32,0.266,-116.508087,99.995331,25.40904,-118.919777,65.592865,38.458134,-120.846199,34.295547,58.437366,-119.629417,35.753368,26.439625,-114.939346,135.269684,31.229767,-116.965317,85.769363,59.929394,-120.680763,91.110779,-2.18325,-114.497742,140.237564,64.08522,-116.585838,139.191299,-4.486492,-121.582306,38.999023,-6.59908
33,0.275,-116.495964,99.975548,25.41054,-118.919495,65.572975,38.456814,-120.857254,34.273808,58.434265,-119.649414,35.734886,26.438131,-114.927292,135.24147,31.23517,-116.9916,85.737961,59.9231,-120.701637,91.086388,-2.190401,-114.483353,140.204636,64.100548,-116.56588,139.170029,-4.485624,-121.659622,39.020679,-6.618285
34,0.283,-116.487907,99.956085,25.409863,-118.917038,65.535103,38.456745,-120.862282,34.249699,58.430977,-119.662331,35.717781,26.433109,-114.916183,135.21788,31.242111,-117.012276,85.71611,59.922165,-120.71328,91.077652,-2.202886,-114.466492,140.183334,64.096138,-116.552925,139.141861,-4.473698,-121.749832,39.001759,-6.625134
35,0.291,-116.483582,99.936028,25.412888,-118.915649,65.505478,38.452263,-120.863747,34.225792,58.424168,-119.677338,35.698086,26.426815,-114.905945,135.190247,31.261618,-117.028847,85.694588,59.920357,-120.753433,91.05632,-2.206485,-114.450455,140.155014,64.097336,-116.53302,139.122437,-4.45338,-121.842888,38.98595,-6.631031
36,0.3,-116.471733,99.911743,25.423637,-118.912361,65.473282,38.459503,-120.86042,34.18367,58.415882,-119.697212,35.665646,26.407272,-114.873528,135.163483,31.283569,-117.042229,85.667648,59.919392,-120.788658,91.036491,-2.198548,-114.409492,140.122299,64.101448,-116.511086,139.093918,-4.437354,-121.923447,38.974133,-6.635316
37,0.308,-116.465736,99.889259,25.431602,-118.907379,65.447411,38.459972,-120.860931,34.161053,58.406494,-119.711555,35.635727,26.39184,-114.858398,135.142624,31.29797,-117.052353,85.644241,59.919994,-120.813538,91.019531,-2.193714,-114.365303,140.086411,64.116776,-116.488091,139.066849,-4.429019,-121.991119,38.95155,-6.640776
