Format Version,1.23,Take Name,Take 2024-01-20 09.04.49 AM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-01-20 09.04.50.264 上午,Capture Start Frame,238119,Total Frames in Take,303,Total Exported Frames,303,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116,-0.144678,-0.434789,0.027334,0.888414,-54.780571,84.587349,26.14826,-64.692879,84.376892,19.667683,-44.850555,84.561066,32.585274,-61.293507,84.736481,36.097443,-48.285328,84.674927,16.242638,-64.706001,84.387642,19.688375,-44.850822,84.571587,32.590927,-61.303432,84.723099,36.087196,-48.249294,84.657425,16.212467,-17.335855,108.465385,23.0347,-20.468033,108.069611,22.308878,-19.579645,108.519661,27.186131,-21.797504,107.883202,25.70372,-26.618437,87.756241,25.386244,-15.279232,88.34201,20.271114,-23.767162,88.2369,29.936161,-10.074004,89.309311,23.532124
15,0.125,-0.14473,-0.434781,0.027323,0.88841,-54.780708,84.588135,26.148838,-64.693062,84.377792,19.668329,-44.850662,84.561737,32.585804,-61.293583,84.738541,36.098038,-48.285511,84.674438,16.243177,-64.706024,84.388512,19.689146,-44.850803,84.572258,32.590534,-61.304508,84.724792,36.087784,-48.2486,84.656815,16.213665,-17.304083,108.513084,23.033655,-20.446508,108.120575,22.306099,-19.561539,108.567581,27.19746,-21.77424,107.925735,25.706673,-26.631388,87.837685,25.330288,-15.286642,88.387726,20.208525,-23.776268,88.293755,29.848919,-10.0788,89.388542,23.474375
16,0.133,-0.144395,-0.434746,0.027376,0.88848,-54.780949,84.590675,26.145691,-64.694237,84.380333,19.666613,-44.84988,84.564308,32.581093,-61.29232,84.733017,36.095997,-48.287331,84.68502,16.239061,-64.706276,84.388504,19.688877,-44.849232,84.572289,32.591839,-61.304432,84.722809,36.086685,-48.250858,84.671738,16.1957,-17.275284,108.554588,23.028986,-20.421972,108.164871,22.30496,-19.545578,108.603752,27.196098,-21.759472,107.959282,25.710934,-26.643854,87.88533,25.273148,-15.331982,88.454933,20.120951,-23.805714,88.313019,29.787695,-10.073926,89.41597,23.441652
17,0.141,-0.144633,-0.434801,0.027317,0.888416,-54.780327,84.587868,26.147831,-64.692497,84.377922,19.667021,-44.850449,84.561089,32.585056,-61.293476,84.735962,36.096889,-48.284874,84.676483,16.242357,-64.706543,84.387917,19.688555,-44.84964,84.570869,32.590996,-61.305248,84.723419,36.086742,-48.247128,84.66053,16.210466,-17.247578,108.59021,23.028082,-20.390459,108.208466,22.303268,-19.527027,108.628868,27.206091,-21.740437,107.991997,25.712103,-26.678865,87.943214,25.209644,-15.338881,88.490753,20.072317,-23.82317,88.334488,29.739523,-10.056541,89.484154,23.392965
18,0.15,-0.144749,-0.4348,0.027348,0.888397,-54.780342,84.588715,26.148865,-64.692429,84.377686,19.66798,-44.850544,84.563019,32.586224,-61.29361,84.739471,36.097805,-48.284756,84.674683,16.243452,-64.70475,84.388023,19.6894,-44.850449,84.573158,32.590847,-61.305439,84.725754,36.086365,-48.248672,84.657738,16.214218,-17.22517,108.637878,23.016794,-20.359888,108.261368,22.30216,-19.500399,108.6576,27.215988,-21.709518,108.025024,25.718102,-26.71549,87.980362,25.122252,-15.342175,88.528847,20.022648,-23.837437,88.360954,29.680326,-10.06191,89.510597,23.356113
19,0.158,-0.144745,-0.434807,0.027336,0.888394,-54.78083,84.587875,26.148848,-64.692802,84.377106,19.667768,-44.851151,84.561913,32.586391,-61.294281,84.738579,36.097668,-48.285057,84.673897,16.243559,-64.705696,84.388222,19.688719,-44.851231,84.572823,32.591648,-61.304916,84.724426,36.086937,-48.248596,84.655556,16.213537,-17.203648,108.666039,23.024618,-20.350918,108.315971,22.317097,-19.466341,108.678993,27.213177,-21.682238,108.058121,25.717258,-26.717857,88.014603,25.0467,-15.33663,88.554832,19.970829,-23.831675,88.383232,29.633934,-10.074384,89.519035,23.321632
20,0.166,-0.144671,-0.434793,0.027361,0.888413,-54.781227,84.588203,26.149494,-64.693527,84.377136,19.668922,-44.851204,84.562531,32.586506,-61.294167,84.737083,36.098679,-48.285992,84.676025,16.243866,-64.706024,84.387764,19.689945,-44.851681,84.572937,32.592323,-61.304398,84.723572,36.087948,-48.249863,84.658447,16.212612,-17.190289,108.694984,23.030111,-20.332762,108.350906,22.317844,-19.443163,108.693275,27.214024,-21.663939,108.096909,25.72245,-26.690155,88.053635,24.985453,-15.325129,88.58194,19.919741,-23.846951,88.398499,29.586887,-10.012178,89.53241,23.248423
21,0.175,-0.144731,-0.434795,0.027338,0.888402,-54.781509,84.588501,26.149044,-64.69368,84.377762,19.668255,-44.851639,84.562508,32.586296,-61.29467,84.738876,36.098064,-48.28603,84.67485,16.243563,-64.706116,84.388557,19.689352,-44.852066,84.57309,32.591606,-61.305218,84.72496,36.08709,-48.249657,84.656868,16.213062,-17.170664,108.721909,23.03421,-20.320187,108.381912,22.318352,-19.42753,108.708595,27.213678,-21.647276,108.124611,25.721249,-26.659637,88.077232,24.908756,-15.319659,88.621017,19.854221,-23.814722,88.379211,29.499802,-10.097601,89.514557,23.156918
22,0.183,-0.144466,-0.434766,0.027391,0.888458,-54.781693,84.590935,26.146114,-64.694633,84.379936,19.666531,-44.850979,84.565231,32.582054,-61.293602,84.734901,36.096046,-48.28754,84.683662,16.239826,-64.705452,84.387787,19.688231,-44.851788,84.572884,32.592186,-61.305027,84.724892,36.087627,-48.250988,84.67054,16.195768,-17.156851,108.743492,23.034447,-20.310865,108.406403,22.316273,-19.417637,108.718964,27.218365,-21.638105,108.136963,25.721106,-26.682911,88.10997,24.852242,-15.309084,88.65374,19.789862,-23.80213,88.408882,29.413828,-10.104472,89.523956,23.115442
23,0.191,-0.144654,-0.434804,0.027345,0.888411,-54.780533,84.588394,26.148659,-64.692673,84.377701,19.667837,-44.850666,84.562347,32.585915,-61.293709,84.7369,36.097694,-48.285053,84.67659,16.243195,-64.705368,84.387733,19.689342,-44.85059,84.572205,32.591991,-61.305534,84.723923,36.08757,-48.247208,84.659889,16.209398,-17.146769,108.757553,23.043266,-20.300215,108.425354,22.315815,-19.411062,108.72464,27.225506,-21.629587,108.142899,25.72047,-26.700756,88.12204,24.792675,-15.336522,88.705887,19.695017,-23.80479,88.405739,29.34573,-10.099984,89.533897,23.075979
