,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1111,Unlabeled 1111,Unlabeled 1111,Unlabeled 1112,Unlabeled 1112,Unlabeled 1112,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114,Unlabeled 1115,Unlabeled 1115,Unlabeled 1115,Unlabeled 1116,Unlabeled 1116,Unlabeled 1116,Unlabeled 1117,Unlabeled 1117,Unlabeled 1117,Unlabeled 1118,Unlabeled 1118,Unlabeled 1118
,ID,D4E356BA9B1B72B11EE,D4E356BA9B1B72B11EE,D4E356BA9B1B72B11EE,D53356BA9B1B72B11EE,D53356BA9B1B72B11EE,D53356BA9B1B72B11EE,D55356BA9B1B72B11EE,D55356BA9B1B72B11EE,D55356BA9B1B72B11EE,D56356BA9B1B72B11EE,D56356BA9B1B72B11EE,D56356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D60356BA9B1B72B11EE,D60356BA9B1B72B11EE,D60356BA9B1B72B11EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
28,0.233,-31.976349,102.91642,12.296334,-34.453075,123.054718,16.169548,-35.195656,122.768318,19.418915,-31.474909,123.449982,16.883476,-27.344141,102.777573,17.23011,-31.663179,122.443687,20.441149,-33.213978,102.479042,22.870886,-36.475227,102.716873,20.546656
29,0.241,-31.98008,102.908028,12.284009,-34.46133,123.044495,16.151855,-35.197254,122.759674,19.407305,-31.478729,123.443245,16.869659,-27.337444,102.774048,17.202122,-31.65954,122.436783,20.428413,-33.19495,102.47216,22.854258,-36.459064,102.707741,20.548552
30,0.25,-31.983932,102.901527,12.270812,-34.468605,123.035202,16.138762,-35.197945,122.751595,19.396086,-31.486029,123.439369,16.851707,-27.327406,102.771629,17.168785,-31.661165,122.432266,20.409399,-33.172874,102.466835,22.838682,-36.443489,102.701355,20.547543
31,0.258,-32.000393,102.885376,12.258776,-34.477028,123.028969,16.12991,-35.202892,122.743904,19.384802,-31.495607,123.437965,16.835672,-27.325163,102.766762,17.140768,-31.663731,122.427246,20.396931,-33.151592,102.459183,22.821644,-36.426598,102.688339,20.543791
32,0.266,-32.00433,102.871796,12.248154,-34.487644,123.023399,16.121872,-35.209133,122.736504,19.374796,-31.502556,123.433594,16.827953,-27.318823,102.748428,17.104397,-31.65633,122.439018,20.402113,-33.130016,102.452194,22.804173,-36.407616,102.679672,20.537325
33,0.275,-31.999228,102.86219,12.236157,-34.505188,123.026718,16.123241,-35.212608,122.723434,19.361553,-31.514723,123.432175,16.815624,-27.304522,102.745163,17.069818,-31.64703,122.457443,20.417278,-33.094601,102.445137,22.781443,-36.385372,102.671577,20.529936
34,0.283,-31.994093,102.861549,12.220435,-34.529282,123.016991,16.115675,-35.22823,122.714905,19.35825,-31.53101,123.433136,16.8025,-27.288589,102.754829,17.039829,-31.629837,122.484497,20.44124,-33.066959,102.440086,22.763802,-36.361706,102.663315,20.522188
35,0.291,-31.987555,102.867363,12.200964,-34.552235,123.009888,16.099489,-35.248833,122.714111,19.355989,-31.549068,123.433479,16.793335,-27.273247,102.76413,17.007574,-31.589794,122.526527,20.466175,-33.036648,102.437767,22.745945,-36.341667,102.652069,20.515053
36,0.3,-31.978502,102.872635,12.180586,-34.578369,123.004745,16.090786,-35.271633,122.712265,19.355608,-31.584629,123.452103,16.765022,-27.244196,102.779877,16.969336,-31.511276,122.561943,20.459936,-32.989182,102.42025,22.704098,-36.316891,102.641846,20.505766
37,0.308,-31.976309,102.876556,12.160169,-34.602062,123.002075,16.090141,-35.290516,122.7062,19.352749,-31.629637,123.452881,16.753349,-27.178188,102.804932,16.914825,-31.459579,122.577942,20.454893,-32.960304,102.415741,22.688215,-36.293644,102.629509,20.497469
38,0.316,-31.962549,102.878799,12.13625,-34.628399,122.99707,16.086304,-35.312416,122.697006,19.349865,-31.656403,123.454544,16.750662,-27.161106,102.81073,16.885544,-31.465441,122.57814,20.457935,-32.930851,102.410637,22.675123,-36.267445,102.616295,20.486237
39,0.325,-31.956568,102.882004,12.112473,-34.655342,122.986092,16.086159,-35.331696,122.681091,19.343033,-31.684723,123.452927,16.739359,-27.143427,102.82148,16.857796,-31.493177,122.570709,20.446442,-32.897141,102.400139,22.664906,-36.242313,102.604126,20.473335
40,0.333,-31.953812,102.881912,12.087466,-34.677452,122.978081,16.085381,-35.344467,122.665428,19.335487,-31.705166,123.443642,16.730856,-27.134335,102.821945,16.835508,-31.637875,122.509789,20.390951,-32.878796,102.388016,22.656466,-36.216602,102.574661,20.455847
41,0.341,-31.954107,102.879311,12.061707,-34.708363,122.962532,16.087893,-35.354862,122.643372,19.330349,-31.724184,123.431953,16.721321,-27.129871,102.812622,16.820454,-31.791126,122.409805,20.32831,-32.865314,102.374374,22.645304,-36.202164,102.550529,20.440865
42,0.35,-31.956091,102.871704,12.034251,-34.733631,122.938309,16.084246,-35.366955,122.613945,19.319613,-31.744198,123.412689,16.710814,-27.12451,102.801201,16.798939,-31.814322,122.362709,20.282108,-32.854034,102.352074,22.633472,-36.187042,102.520714,20.429037
43,0.358,-31.971491,102.866386,11.995052,-34.74852,122.915291,16.08469,-35.373806,122.590294,19.315235,-31.770008,123.388817,16.694208,-27.126011,102.784286,16.783138,-31.826469,122.33918,20.266796,-32.82914,102.311455,22.617834,-36.178696,102.496109,20.422178
44,0.366,-31.988087,102.843727,11.968461,-34.752373,122.887672,16.076607,-35.380497,122.563828,19.316811,-31.771067,123.344742,16.696314,-27.124411,102.767387,16.765667,-31.826231,122.319687,20.266853,-32.818527,102.285515,22.608168,-36.171661,102.470901,20.413807
45,0.375,-32.00108,102.809464,11.946983,-34.776871,122.843002,16.090958,-35.389683,122.519997,19.333244,-31.783184,123.311127,16.682817,-27.133959,102.739014,16.747908,-31.82716,122.297874,20.267061,-32.816078,102.252495,22.591698,-36.164909,102.438477,20.400442
46,0.383,-32.011333,102.782295,11.931059,-34.79961,122.811928,16.099676,-35.411732,122.492775,19.354443,-31.802242,123.282959,16.680162,-27.145458,102.715599,16.728909,-31.82995,122.273514,20.264465,-32.814709,102.222351,22.577204,-36.165279,102.406708,20.388741
47,0.391,-32.009281,102.762413,11.910512,-34.819645,122.778259,16.119204,-35.42857,122.465706,19.375595,-31.839979,123.251915,16.677982,-27.161041,102.689102,16.70857,-31.832277,122.24691,20.266403,-32.814007,102.189659,22.563009,-36.165123,102.373466,20.372387
