,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071,Unlabeled 1072,Unlabeled 1072,Unlabeled 1072
,ID,1423224FEEEBCE111EE,1423224FEEEBCE111EE,1423224FEEEBCE111EE,1443224FEEEBCE111EE,1443224FEEEBCE111EE,1443224FEEEBCE111EE,1463224FEEEBCE111EE,1463224FEEEBCE111EE,1463224FEEEBCE111EE,1683224FEEEBCE111EE,1683224FEEEBCE111EE,1683224FEEEBCE111EE,16B3224FEEEBCE111EE,16B3224FEEEBCE111EE,16B3224FEEEBCE111EE,16C3224FEEEBCE111EE,16C3224FEEEBCE111EE,16C3224FEEEBCE111EE,16D3224FEEEBCE111EE,16D3224FEEEBCE111EE,16D3224FEEEBCE111EE,1703224FEEEBCE111EE,1703224FEEEBCE111EE,1703224FEEEBCE111EE,1733224FEEEBCE111EE,1733224FEEEBCE111EE,1733224FEEEBCE111EE,1743224FEEEBCE111EE,1743224FEEEBCE111EE,1743224FEEEBCE111EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
39,0.325,-122.586143,133.559494,37.099792,-122.969414,130.52916,3.362074,-124.418152,134.998352,-32.266277,-129.351212,46.314625,3.193209,-123.889099,113.512459,-9.783574,-127.583084,72.041756,10.296316,-125.595894,92.039917,33.981689,-129.206223,50.773232,33.456871,-128.433884,53.438633,-31.416563,-127.418587,93.303802,-28.98192
40,0.333,-122.446022,133.585052,37.084908,-122.847618,130.537903,3.35249,-124.286179,135.015915,-32.301205,-129.222565,46.380478,3.156718,-123.858849,113.544167,-9.819834,-127.524315,72.064476,10.289748,-125.525795,92.076233,33.967525,-129.069031,50.804527,33.428513,-128.321045,53.459145,-31.46257,-127.341499,93.338112,-29.011642
41,0.341,-122.276733,133.616562,37.064922,-122.69503,130.551987,3.349042,-124.13192,135.052887,-32.32217,-129.09874,46.416969,3.134151,-123.828362,113.569733,-9.847462,-127.486778,72.090057,10.279247,-125.478828,92.109795,33.948605,-128.933121,50.846779,33.409863,-128.188278,53.492283,-31.489552,-127.247406,93.374947,-29.028553
42,0.35,-122.09761,133.658157,37.039379,-122.518135,130.593887,3.32802,-123.949661,135.10228,-32.340588,-128.985245,46.461926,3.10573,-123.805641,113.60556,-9.868882,-127.460899,72.120918,10.264836,-125.428604,92.148201,33.918839,-128.798309,50.887745,33.391235,-128.075455,53.514706,-31.525539,-127.147163,93.414429,-29.048399
43,0.358,-121.917686,133.697754,37.021706,-122.353745,130.62645,3.304507,-123.784767,135.140778,-32.348541,-128.835876,46.499023,3.09515,-123.786606,113.64328,-9.886232,-127.420723,72.170494,10.247599,-125.360641,92.177048,33.90052,-128.699554,50.926197,33.385147,-127.962196,53.545242,-31.549227,-127.046135,93.462822,-29.065456
44,0.366,-121.713974,133.747559,36.990837,-122.194252,130.647781,3.273104,-123.61702,135.17514,-32.351864,-128.730057,46.539818,3.075759,-123.737946,113.702759,-9.882347,-127.331734,72.215744,10.207733,-125.288559,92.20871,33.895031,-128.591827,50.971432,33.361893,-127.84803,53.581661,-31.573668,-126.954254,93.505142,-29.081264
45,0.375,-121.476921,133.789124,36.983059,-121.974098,130.697403,3.26864,-123.367821,135.212799,-32.367939,-128.580994,46.591755,3.063259,-123.718582,113.764153,-9.87799,-127.205978,72.295303,10.168948,-125.191544,92.252907,33.886406,-128.450882,51.035721,33.328857,-127.746429,53.632969,-31.603193,-126.854622,93.551895,-29.098972
46,0.383,-121.251572,133.821426,36.983429,-121.770691,130.728683,3.270739,-123.115715,135.246429,-32.376587,-128.468201,46.637772,3.042247,-123.662308,113.821426,-9.874387,-127.103218,72.352753,10.144266,-125.130035,92.288078,33.867298,-128.312866,51.089733,33.306789,-127.632668,53.697109,-31.620821,-126.740005,93.60659,-29.106924
47,0.391,-121.027374,133.852814,36.97541,-121.569908,130.769196,3.266129,-122.840752,135.285187,-32.364052,-128.327988,46.741711,2.995548,-123.618225,113.881447,-9.878791,-127.033905,72.401253,10.115309,-125.014404,92.366005,33.849491,-128.149658,51.156097,33.288498,-127.544426,53.754055,-31.647009,-126.610603,93.666847,-29.137302
48,0.4,-120.76178,133.894485,36.959465,-121.316551,130.822235,3.243071,-122.522591,135.325882,-32.353001,-128.19696,46.79882,2.960926,-123.56073,113.944687,-9.895071,-126.970337,72.462708,10.093114,-124.895622,92.418892,33.794991,-127.972412,51.223255,33.261875,-127.45472,53.825642,-31.673697,-126.464394,93.722984,-29.17819
