Format Version,1.23,Take Name,textured_table_exp_8,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 01.58.46.352 下午,Capture Start Frame,56888,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116,0.000359,0.000325,0.000507,1,-31.709099,28.933716,40.966888,-59.798981,30.33033,1.649734,-2.234155,28.378969,2.872506,-3.757799,27.539164,80.016731,-61.045467,29.486406,79.328682,-59.73925,30.355232,1.671332,-2.250754,28.347216,2.850196,-3.658578,27.587608,79.937126,-61.173473,29.455006,79.380394,-74.280106,66.325043,76.011475,-75.601089,46.920849,55.815601,-75.440491,65.82341,10.533157,-65.986153,105.987694,75.447426,-67.950592,83.766441,32.988583,-66.35376,105.892143,10.211997,-66.6819,104.405128,42.561352,-86.475639,25.184763,76.045914,-79.855988,24.519699,10.936619,-80.347483,27.871721,43.794193
15,0.125,0.000375,0.000324,0.000491,1,-31.711239,28.934006,40.969002,-59.801018,30.3328,1.651859,-2.236265,28.379536,2.87464,-3.760034,27.537283,80.018829,-61.047638,29.486406,79.33078,-59.74242,30.356947,1.673561,-2.251903,28.347391,2.851062,-3.658612,27.58654,79.935493,-61.173492,29.456165,79.382401,-74.02684,66.535591,76.021721,-75.423279,47.148331,55.830635,-75.261131,66.061531,10.540122,-65.640007,106.19857,75.417419,-67.655693,83.972427,32.965557,-66.043289,106.103203,10.214006,-66.33046,104.614029,42.537346,-86.387512,25.404263,76.047752,-79.804688,24.748457,10.942499,-80.259356,28.091221,43.792789
16,0.133,0.000396,0.000322,0.0005,1,-31.711975,28.930864,40.970325,-59.801628,30.33078,1.653129,-2.236834,28.378546,2.876058,-3.760901,27.533031,80.02021,-61.048538,29.481108,79.332008,-59.742867,30.355103,1.676328,-2.250603,28.345692,2.850098,-3.656871,27.5835,79.93399,-61.178051,29.450518,79.385086,-73.794159,66.729591,76.030121,-75.231781,47.346951,55.836605,-75.085083,66.277687,10.539661,-65.299866,106.381905,75.41507,-67.36554,84.180969,32.970787,-65.734398,106.312309,10.229797,-66.046936,104.808853,42.535942,-86.241257,25.659698,76.041191,-79.741539,24.939976,10.950713,-80.113101,28.346656,43.808132
17,0.141,0.000339,0.000382,0.000512,1,-31.707106,28.930342,40.963806,-59.80146,30.325083,1.649791,-2.236483,28.374334,2.866098,-3.751361,27.537653,80.010536,-61.039127,29.484308,79.328903,-59.741817,30.350491,1.670501,-2.25101,28.345612,2.848078,-3.656713,27.582264,79.935349,-61.176498,29.451006,79.384117,-73.550026,66.929749,76.042511,-75.082619,47.527802,55.841118,-74.899872,66.479439,10.540048,-64.980331,106.562126,75.4049,-67.137039,84.369019,32.975407,-65.432869,106.487892,10.20746,-65.751434,104.997978,42.551285,-86.127007,25.910917,76.055,-79.667328,25.17469,10.964255,-79.998851,28.597875,43.784431
18,0.15,0.000338,0.000355,0.000496,1,-31.706528,28.930351,40.961742,-59.798752,30.325884,1.64623,-2.233902,28.373373,2.865601,-3.752896,27.536873,80.009956,-61.040562,29.485283,79.325279,-59.740059,30.352587,1.666312,-2.248513,28.342937,2.848039,-3.656122,27.584148,79.934753,-61.17778,29.450243,79.379929,-73.267456,67.16008,76.034348,-74.900391,47.753445,55.858444,-74.709908,66.706123,10.560503,-64.62867,106.773361,75.392197,-66.891029,84.559769,32.964195,-65.110359,106.684914,10.198285,-65.387421,105.207802,42.527584,-86.02668,26.142311,76.073502,-79.577217,25.405127,10.970639,-79.898524,28.829269,43.755523
19,0.158,0.000319,0.000393,0.000517,1,-31.702307,28.931442,40.960197,-59.79755,30.324348,1.646751,-2.232531,28.374268,2.861851,-3.745672,27.540573,80.006363,-61.033474,29.486588,79.325935,-59.737617,30.351765,1.664949,-2.24831,28.345629,2.848321,-3.656406,27.584787,79.936058,-61.171879,29.450035,79.381821,-73.014,67.365013,76.024666,-74.722206,47.973404,55.852627,-74.537926,66.905991,10.562538,-64.295128,106.963264,75.4039,-66.624741,84.73497,32.947983,-64.804428,106.863609,10.201027,-65.081818,105.373886,42.498676,-85.863533,26.407475,76.067474,-79.486008,25.625301,10.985478,-79.735377,29.094433,43.75893
20,0.166,0.000327,0.000379,0.000507,1,-31.704327,28.931618,40.961243,-59.798485,30.325716,1.647058,-2.233535,28.374434,2.863681,-3.748777,27.539562,80.008133,-61.036514,29.486767,79.326195,-59.736938,30.353121,1.6664,-2.251094,28.34425,2.847761,-3.65728,27.585701,79.935989,-61.171413,29.451012,79.380524,-72.77372,67.556976,76.035614,-74.525932,48.170395,55.862438,-74.353226,67.112717,10.572632,-63.937706,107.15538,75.375214,-66.326561,84.933975,32.951515,-64.484825,107.042244,10.174715,-64.771156,105.555702,42.502083,-85.728943,26.659702,76.078056,-79.391769,25.860273,10.992929,-79.600787,29.34666,43.756065
21,0.175,0.000367,0.000337,0.000501,1,-31.707373,28.932631,40.968765,-59.798195,30.330198,1.652315,-2.233365,28.378122,2.873656,-3.755143,27.537132,80.017899,-61.042797,29.485077,79.331276,-59.738602,30.353907,1.674613,-2.2504,28.346449,2.849084,-3.656224,27.584877,79.937485,-61.166405,29.455692,79.381386,-72.492989,67.790596,76.056854,-74.298294,48.404732,55.853565,-74.129364,67.338356,10.573193,-63.558811,107.355774,75.361145,-66.063835,85.149033,32.962257,-64.145264,107.256302,10.183201,-64.401062,105.777481,42.499218,-85.571289,26.902176,76.110397,-79.28553,26.09573,10.99365,-79.443133,29.589134,43.731311
22,0.183,0.00031,0.000371,0.000495,1,-31.706406,28.931734,40.965698,-59.799885,30.325165,1.651001,-2.234995,28.372604,2.868643,-3.751528,27.54034,80.0131,-61.039207,29.488832,79.330147,-59.740704,30.349689,1.672623,-2.250596,28.342951,2.847699,-3.65712,27.585331,79.938644,-61.168446,29.457664,79.381577,-72.235817,67.987267,76.054184,-74.053635,48.626205,55.856693,-73.927536,67.548447,10.580542,-63.222969,107.559441,75.367119,-65.835655,85.33065,32.957836,-63.799679,107.4599,10.180483,-64.072067,105.953979,42.474464,-85.422081,27.129343,76.109451,-79.182831,26.30592,11.004927,-79.293925,29.816301,43.709415
23,0.191,0.000296,0.000398,0.000499,1,-31.704176,28.932858,40.961571,-59.799774,30.324966,1.648346,-2.234802,28.372919,2.862957,-3.747195,27.542782,80.007515,-61.034931,29.490772,79.327583,-59.738976,30.351555,1.668773,-2.250283,28.344234,2.84637,-3.660529,27.586254,79.937263,-61.16967,29.456007,79.382225,-71.965485,68.188873,76.05497,-73.836533,48.836475,55.860668,-73.72168,67.75515,10.571536,-62.881351,107.751511,75.330055,-65.552727,85.520538,32.929024,-63.495731,107.617424,10.155174,-63.739006,106.125259,42.452568,-85.223701,27.404074,76.130127,-79.076508,26.530642,11.008962,-79.095545,30.091032,43.705913
