,Frame,Time (Seconds),X,Y,Z,W,X.1,Y.1,Z.1,X.2,Y.2,Z.2,X.3,Y.3,Z.3,X.4,Y.4,Z.4,X.5,Y.5,Z.5,X.6,Y.6,Z.6,X.7,Y.7,Z.7,X.8,Y.8,Z.8,X.9,Y.9,Z.9,X.10,Y.10,Z.10,X.11,Y.11,Z.11,X.12,Y.12,Z.12,X.13,Y.13,Z.13,X.14,Y.14,Z.14,X.15,Y.15,Z.15,X.16,Y.16,Z.16,X.17,Y.17,Z.17,X.18,Y.18,Z.18,X.19,Y.19,Z.19,X.20,Y.20,Z.20
22,22,0.183,9.7e-05,6.3e-05,0.000379,1.0,-52.255123,69.439026,33.002598,-51.791489,71.72377,68.749878,-51.803459,67.187225,68.905815,-52.700211,67.063942,-2.915013,-52.725338,71.781189,-2.730295,-51.777809,71.737061,68.740967,-51.815266,67.175781,68.904449,-52.688919,67.084297,-2.911475,-52.736748,71.760567,-2.723831,-65.595802,107.923363,37.70417,-60.549175,74.389229,52.436359,-58.526218,90.630356,51.70319,-71.576813,92.713654,23.015411,-63.984222,98.406677,42.930511,-58.452042,107.735352,53.643555,-69.466278,87.855568,32.276939,-66.962341,75.650101,36.756432,-73.002647,75.962654,22.219461,-72.664734,109.333931,23.4533,,,
23,23,0.191,9e-05,6.1e-05,0.000331,1.0,-52.255104,69.438103,33.002632,-51.791458,71.723251,68.749893,-51.803867,67.186714,68.905876,-52.700211,67.062607,-2.914944,-52.724892,71.779854,-2.730292,-51.777702,71.73645,68.740608,-51.815296,67.175674,68.905235,-52.688618,67.083633,-2.91058,-52.735435,71.760765,-2.725339,-65.603333,107.90728,37.700447,-60.530136,74.372955,52.424004,-58.518524,90.613457,51.687725,-71.562996,92.700661,23.014536,-63.987965,98.392334,42.922733,-58.457775,107.71537,53.634407,-69.470215,87.838043,32.275478,-66.936836,75.643799,36.744587,-72.965881,75.947723,22.207117,-72.672119,109.314552,23.451706,,,
24,24,0.2,9.4e-05,5.1e-05,0.000292,1.0,-52.25544,69.437943,33.002384,-51.79229,71.722801,68.749664,-51.80505,67.186264,68.905617,-52.700062,67.062744,-2.915218,-52.724373,71.779984,-2.730531,-51.778095,71.735008,68.740913,-51.816963,67.175941,68.905045,-52.68811,67.082634,-2.91138,-52.735474,71.761536,-2.72562,-65.613167,107.892624,37.690845,-60.516106,74.353149,52.408951,-58.505337,90.600082,51.662987,-71.548477,92.679993,23.014053,-63.989021,98.376381,42.910061,-58.461971,107.694794,53.626133,-69.471207,87.822304,32.269848,-66.906021,75.636909,36.730904,-72.92852,75.928062,22.194506,-72.677078,109.296013,23.446417,,,
25,25,0.208,9.8e-05,5.9e-05,0.000503,1.0,-52.254097,69.439133,33.002193,-51.791359,71.723907,68.749489,-51.802212,67.187363,68.905403,-52.698265,67.064018,-2.915421,-52.724564,71.78125,-2.7307,-51.777927,71.736687,68.740807,-51.813972,67.176178,68.903976,-52.68671,67.083885,-2.911513,-52.735798,71.761909,-2.724761,-65.621796,107.875107,37.686794,-60.509121,74.324242,52.407394,-58.493656,90.585999,51.647781,-71.532143,92.664398,23.010828,-63.988503,98.361771,42.89949,-58.466095,107.679535,53.61879,-69.471199,87.806389,32.264267,-66.879745,75.632248,36.717041,-72.895531,75.909195,22.18358,-72.684631,109.276749,23.439024,,,
26,26,0.216,0.0001,5e-05,0.000358,1.0,-52.254974,69.439125,33.00275,-51.79224,71.723625,68.750069,-51.804405,67.187088,68.905975,-52.699162,67.06427,-2.914885,-52.724098,71.781517,-2.73014,-51.778339,71.735886,68.74157,-51.816498,67.176437,68.904701,-52.687889,67.083199,-2.911601,-52.735443,71.762436,-2.724019,-65.629684,107.859863,37.680561,-60.502689,74.303368,52.397736,-58.481102,90.575325,51.628597,-71.515717,92.651146,23.005163,-63.988953,98.340355,42.884903,-58.468979,107.662514,53.610538,-69.470123,87.792587,32.256351,-66.852692,75.627289,36.6987,-72.856438,75.87854,22.170877,-72.689781,109.25975,23.435242,,,
27,27,0.225,9.3e-05,4.8e-05,0.00042,1.0,-52.254539,69.437859,33.002342,-51.792229,71.722916,68.749634,-51.803833,67.186378,68.905594,-52.698292,67.062462,-2.915263,-52.723812,71.779701,-2.730587,-51.778473,71.736107,68.741516,-51.815517,67.175171,68.904976,-52.687283,67.081741,-2.91258,-52.73494,71.760162,-2.724996,-65.635429,107.843353,37.672241,-60.501377,74.284729,52.383537,-58.4687,90.560547,51.609379,-71.49485,92.638374,22.990496,-63.98658,98.324272,42.869717,-58.470207,107.646965,53.601158,-69.465637,87.7771,32.242176,-66.820572,75.621841,36.676411,-72.814682,75.858139,22.154776,-72.696838,109.243156,23.43,,,
28,28,0.233,9.2e-05,6e-05,0.000426,1.0,-52.255005,69.437576,33.002506,-51.791794,71.722687,68.749786,-51.803345,67.186142,68.905746,-52.699654,67.062126,-2.915082,-52.725227,71.779366,-2.730414,-51.778709,71.736534,68.741417,-51.814453,67.174339,68.904945,-52.688335,67.082092,-2.911154,-52.735603,71.761063,-2.72567,-65.638,107.831451,37.663273,-60.497433,74.267365,52.371384,-58.458561,90.550697,51.593979,-71.480087,92.629173,22.97871,-63.976364,98.302406,42.844158,-58.46846,107.633293,53.587074,-69.460342,87.762764,32.228844,-66.792854,75.619392,36.649891,-72.771858,75.841431,22.130848,-72.704758,109.232521,23.418324,,,
29,29,0.241,9.9e-05,6.1e-05,0.000353,1.0,-52.255512,69.438538,33.002911,-51.791946,71.723083,68.750214,-51.804153,67.186539,68.906113,-52.700531,67.06366,-2.914712,-52.725418,71.780899,-2.72997,-51.777905,71.735687,68.741493,-51.816376,67.175568,68.904839,-52.688908,67.083603,-2.911152,-52.736984,71.761002,-2.723836,-65.627121,107.827614,37.648853,-60.498501,74.250916,52.356327,-58.451851,90.540985,51.577568,-71.46093,92.620026,22.965605,-63.969738,98.287315,42.826366,-58.467907,107.618919,53.577076,-69.450058,87.751526,32.21357,-66.76384,75.617661,36.627903,-72.723434,75.836929,22.101187,-72.709541,109.223305,23.408297,,,
30,30,0.25,9.6e-05,6.4e-05,0.000311,1.0,-52.255405,69.438942,33.001831,-51.791405,71.72364,68.749115,-51.804001,67.187103,68.905045,-52.700867,67.063889,-2.91577,-52.725349,71.781136,-2.731064,-51.779682,71.736145,68.742241,-51.815014,67.175476,68.902489,-52.690117,67.083336,-2.912772,-52.736534,71.760704,-2.724267,-65.625206,107.815483,37.633976,-60.494816,74.237366,52.334682,-58.440037,90.531502,51.558208,-71.450752,92.612549,22.945414,-63.963425,98.27343,42.808205,-58.466434,107.606819,53.56258,-69.433357,87.743782,32.194538,-66.732979,75.614655,36.595936,-72.686295,75.824265,22.068798,-72.71637,109.21196,23.39674,,,
31,31,0.258,9.4e-05,6e-05,0.000326,1.0,-52.255302,69.438965,33.001987,-51.791676,71.723862,68.74926,-51.804131,67.187325,68.905212,-52.700394,67.063721,-2.915609,-52.725021,71.78096,-2.730927,-51.778286,71.736145,68.741409,-51.815994,67.176453,68.903984,-52.689053,67.083382,-2.912475,-52.736343,71.761284,-2.725156,-65.638611,107.798302,37.629776,-60.493626,74.228302,52.313316,-58.43618,90.52124,51.544075,-71.442535,92.604912,22.917397,-63.957531,98.265671,42.787163,-58.464928,107.594193,53.551876,-69.422684,87.73806,32.177197,-66.700447,75.61145,36.570724,-72.656593,75.819679,22.04093,-72.722534,109.206818,23.389132,,,
