,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071
,ID,4FFCED923C6E4311EE,4FFCED923C6E4311EE,4FFCED923C6E4311EE,51ACED923C6E4311EE,51ACED923C6E4311EE,51ACED923C6E4311EE,51CCED923C6E4311EE,51CCED923C6E4311EE,51CCED923C6E4311EE,529CED923C6E4311EE,529CED923C6E4311EE,529CED923C6E4311EE,52DCED923C6E4311EE,52DCED923C6E4311EE,52DCED923C6E4311EE,532CED923C6E4311EE,532CED923C6E4311EE,532CED923C6E4311EE,535CED923C6E4311EE,535CED923C6E4311EE,535CED923C6E4311EE,536CED923C6E4311EE,536CED923C6E4311EE,536CED923C6E4311EE,538CED923C6E4311EE,538CED923C6E4311EE,538CED923C6E4311EE,53ACED923C6E4311EE,53ACED923C6E4311EE,53ACED923C6E4311EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,0.175,43.446644,980.077087,93.65139,53.313946,1285.21521,119.952827,64.487114,1062.440186,84.178123,-109.203667,1160.237061,86.785965,206.164032,1150.20459,138.102646,-105.98069,1311.610352,84.437698,205.553528,1296.709961,146.165573,-112.478027,1002.323975,87.947433,26.040634,1193.925781,107.583252,197.536819,986.802673,143.790207
22,0.183,43.690609,978.980774,93.80687,53.165951,1283.907471,119.775253,64.911942,1061.91626,83.960655,-109.203926,1159.32251,85.717842,206.193878,1149.510864,138.240738,-105.915932,1310.61145,83.454674,205.20369,1295.901855,146.117035,-112.549438,1001.331665,88.77607,26.166365,1193.20752,107.598038,197.792953,986.139404,143.745972
23,0.191,44.057121,978.077881,93.983742,53.065689,1282.464355,119.472549,65.080933,1061.011963,83.969513,-109.036163,1158.449585,84.85434,206.201309,1148.764404,138.512146,-105.81572,1309.744629,82.388992,205.027878,1294.973267,146.193619,-112.542397,1000.307068,89.686569,26.291203,1192.429565,107.59317,197.968048,985.431519,143.747711
24,0.2,44.406536,977.238098,94.191406,52.965591,1280.879395,119.257927,65.448906,1059.520508,84.588531,-108.89608,1157.481689,84.006584,206.37384,1147.831177,139.036926,-105.703339,1308.898193,81.013016,204.962143,1294.012939,146.027359,-112.28186,999.137939,90.660225,26.38072,1191.478027,107.483017,198.188156,984.409729,143.90831
25,0.208,44.541607,976.499084,94.429459,52.809677,1279.383301,118.877869,65.592125,1058.636719,84.797424,-108.826324,1156.380493,83.295822,206.570786,1146.912964,139.468292,-105.505013,1307.980835,80.012093,204.866608,1293.23877,145.675919,-112.181,998.077332,91.432564,26.581833,1190.578003,107.354263,198.458252,983.445496,144.466995
26,0.216,44.625042,975.565735,94.666809,52.721016,1277.941406,118.561241,65.717651,1057.816528,85.050827,-108.576294,1155.399292,82.57399,206.648468,1145.985107,139.769775,-105.244713,1307.131592,78.979477,204.809586,1292.446045,145.282104,-111.97039,997.287048,92.276772,26.857344,1189.676025,107.277069,198.588989,982.694885,145.026108
27,0.225,44.69664,974.324951,94.966393,52.829174,1276.321655,117.942368,65.81955,1056.75354,85.282143,-108.365463,1154.487183,81.961128,206.634338,1144.889038,139.843658,-104.802933,1306.093262,77.539116,204.803772,1291.393066,144.818039,-111.83091,996.378906,93.289574,27.01116,1188.504883,107.006508,198.597412,981.922485,145.737473
28,0.233,44.878857,973.341675,95.412407,52.966301,1274.936768,117.397179,65.938972,1055.662964,85.582054,-108.220291,1153.566162,81.480301,206.557022,1144.015503,140.107056,-104.454773,1305.343018,76.380981,204.842407,1290.573242,144.258347,-112.015945,995.473938,94.228935,26.992445,1187.623535,106.705605,198.551849,981.191223,146.512634
29,0.241,44.799,972.307068,96.12355,53.088413,1273.551025,116.670738,65.648132,1054.66333,85.932068,-108.036064,1152.598267,81.02285,206.416061,1143.321411,140.22345,-104.313301,1304.356689,75.406273,204.784164,1289.728638,143.460312,-112.107277,994.794922,95.009392,27.0061,1186.748779,106.267754,198.233719,980.262817,147.519272
30,0.25,44.681541,971.320862,96.804565,53.267365,1272.116821,115.682762,65.585487,1053.72644,86.300774,-107.899094,1151.623291,80.644707,206.277649,1142.38916,140.239624,-103.917465,1303.490723,73.850792,204.81723,1288.824219,142.728531,-112.281334,993.953064,95.87748,27.097118,1185.769409,105.847908,198.017761,979.288696,148.761566
