Format Version,1.23,Take Name,Take 2023-10-19 07.20.41 PM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2023-10-19 07.20.42.493 下午,Capture Start Frame,2394878,Total Frames in Take,2002,Total Exported Frames,2002,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global,,,,,,,,
12,0.1,42.374664,1168.228149,172.798477,33.293678,952.663391,194.18364,80.54789,1254.210938,184.305023,-76.502838,1303.330811,183.154678,60.839012,1029.270508,171.822342,-89.092392,1149.340576,200.685593,-112.90184,993.263794,206.291382,194.672546,944.028015,192.072403,214.304474,1104.105713,177.595703,238.139221,1254.609253,169.662781
13,0.108,42.411205,1168.650391,172.797668,33.219482,953.005371,193.752213,80.309837,1253.867554,184.88591,-76.183365,1303.7323,183.206711,60.570431,1029.727417,171.181778,-88.685318,1149.819702,201.206696,-112.468323,993.994995,205.769363,194.732483,944.266907,191.86586,214.572403,1104.26062,176.75943,238.165894,1254.925537,169.419846
14,0.116,42.479015,1168.946533,172.836563,33.239151,953.373596,193.308472,80.237473,1253.526123,185.398132,-75.667465,1304.108765,183.436371,60.39542,1030.047852,170.499542,-88.338524,1150.299194,201.747726,-112.150146,994.595032,205.252182,194.782104,944.447876,191.575272,214.665237,1104.585938,175.833481,238.154922,1255.277954,169.209427
15,0.125,42.550228,1169.180054,172.937775,33.270878,953.624634,192.706848,80.276093,1253.124756,185.944504,-75.207176,1304.698364,183.602203,60.278202,1030.07959,169.5354,-88.013939,1150.832886,202.266144,-111.798416,995.199829,204.712875,194.899506,944.608337,191.143524,214.546921,1105.032104,174.647232,238.042938,1255.686401,168.920395
16,0.133,42.631615,1169.348633,173.006439,33.261856,953.84436,192.145767,80.40802,1252.682495,186.494125,-74.840279,1305.100586,183.865082,60.385704,1030.20105,168.590347,-87.690315,1151.25415,202.679535,-111.428284,995.720459,204.204681,194.984604,944.744141,190.70816,214.540359,1105.168579,173.754013,237.818008,1256.489746,168.276382
17,0.141,42.700378,1169.474854,173.043564,33.265102,954.016235,191.570023,80.504913,1252.244385,186.910599,-74.563515,1305.307495,184.093552,60.358898,1030.459106,167.775681,-87.38105,1151.601562,203.134537,-111.065376,996.187439,203.794098,195.151398,944.954163,190.149063,214.553452,1105.118408,172.878265,237.696396,1256.794434,168.042343
18,0.15,42.823433,1169.614624,173.098373,33.279072,954.217651,190.887421,80.543434,1251.660889,187.472122,-74.213615,1305.49292,184.322998,60.277443,1030.583618,167.073868,-87.182022,1152.000977,203.634445,-110.697838,996.543579,203.339584,195.224915,945.075439,189.319977,214.58107,1105.325928,171.689774,237.610046,1256.905151,167.908386
19,0.158,43.051922,1169.652588,173.267227,33.335815,954.345215,190.282471,80.389824,1251.047852,188.080063,-73.94072,1305.601807,184.538864,60.228668,1030.623047,166.609009,-86.947365,1152.246826,203.940979,-110.386742,996.822449,202.984314,195.326874,945.112854,188.676575,214.502884,1105.603516,170.595749,237.58873,1256.943359,167.807724
20,0.166,43.26606,1169.703247,173.330307,33.34351,954.433167,189.581665,80.359558,1250.436401,188.717743,-73.486244,1305.669922,184.871979,60.172527,1030.69397,166.081787,-86.703094,1152.42981,204.206802,-110.18306,997.079712,202.662979,195.441116,945.105286,188.018295,214.56369,1105.758179,169.622162,237.517502,1256.992554,167.716507
21,0.175,43.480427,1169.766724,173.432999,33.491962,954.537781,188.903931,80.342506,1249.858643,189.229767,-72.992058,1305.684326,185.260162,60.079514,1030.791382,165.322937,-86.488388,1152.561279,204.378616,-109.967987,997.346619,202.388809,195.4944,945.098999,187.123734,214.752716,1105.92688,168.675903,237.334091,1257.05957,167.620163
22,0.183,43.540081,1169.783691,173.486465,33.541492,954.534668,188.347183,80.381676,1249.377197,189.59256,-72.56456,1305.666138,185.599213,60.180534,1030.818237,164.554703,-86.367561,1152.7146,204.487778,-109.812065,997.582825,202.169205,195.447983,945.197754,185.969971,214.819275,1105.869019,167.782318,237.092804,1257.101807,167.5923
23,0.191,43.563084,1169.770386,173.513016,33.512745,954.544556,187.811554,80.50399,1248.869995,190.010132,-72.191742,1305.649414,185.87999,60.439228,1030.923706,163.798279,-86.113602,1152.88916,204.534271,-109.718796,997.768127,202.022949,195.457901,945.229675,184.873184,214.857803,1105.855591,167.162537,236.830048,1257.104492,167.640396
24,0.2,43.551903,1169.718384,173.460205,33.401218,954.53302,187.233215,80.672104,1248.222534,190.673782,-71.765396,1305.67688,186.241333,60.458435,1030.946899,163.078903,-85.813339,1153.077637,204.431717,-109.705444,997.904419,201.963852,195.366806,945.103699,183.509628,214.806931,1105.857178,166.612091,236.303238,1256.988647,167.797592
25,0.208,43.508125,1169.64856,173.377472,33.253334,954.480103,186.735184,80.111984,1247.544312,191.464386,-71.531418,1305.704224,186.418518,60.219406,1030.912476,162.643188,-85.523087,1153.199463,204.289642,-109.740761,997.947021,201.988846,195.234924,944.974426,182.302322,214.697647,1105.825317,166.121735,235.850388,1256.897217,168.023315
26,0.216,43.435905,1169.56189,173.289719,33.05901,954.406616,186.180328,79.511429,1246.940063,192.083145,-71.36953,1305.728394,186.586624,59.894855,1030.844971,162.171005,-85.264267,1153.296997,204.089645,-109.80452,997.956421,202.029114,194.937149,944.938599,180.896851,214.593933,1105.708008,165.603882,235.425278,1256.828247,168.228912
27,0.225,43.322464,1169.457886,173.159317,32.768604,954.349976,185.440765,79.000076,1246.243408,192.659531,-71.215027,1305.787842,186.72934,59.489044,1030.77478,161.533188,-85.020615,1153.375366,203.851349,-109.914307,997.95636,202.08786,194.628937,944.87146,179.293228,214.369583,1105.717773,164.900146,234.975723,1256.715332,168.491516
28,0.233,43.175476,1169.443726,172.991562,32.438061,954.278503,184.700806,78.798813,1245.5448,193.380035,-71.110588,1305.812866,186.836227,59.12191,1030.44458,160.87674,-84.894035,1153.430176,203.651062,-110.020714,997.923645,202.172165,194.363922,944.755066,177.862381,214.051117,1105.632568,164.418793,234.58873,1256.590576,168.739319
29,0.241,43.071037,1169.377197,172.875443,32.042404,954.136963,184.074753,78.657532,1244.916138,194.082703,-71.046097,1305.803223,186.942169,58.826862,1030.314209,160.297104,-84.721313,1153.452759,203.447281,-110.165359,997.919983,202.260117,193.954941,944.725098,176.303452,213.671494,1105.45166,164.09877,234.093399,1256.491699,168.969452
30,0.25,42.963634,1169.303101,172.726242,31.644958,954.031311,183.498138,78.607262,1244.075073,194.611404,-70.805702,1305.639282,187.117126,58.398003,1030.359741,159.570114,-84.583214,1153.444214,203.199738,-110.368889,997.9198,202.3694,193.506714,944.488403,174.632599,213.093658,1105.266968,163.862747,233.694397,1256.303955,169.195801
31,0.258,42.868996,1169.230225,172.5802,31.282,953.903503,182.974274,78.850655,1243.52124,195.245102,-70.623161,1305.465332,187.415848,58.095966,1030.30835,159.05748,-84.581673,1153.476196,203.049332,-110.571831,997.939087,202.439438,193.023193,944.330444,173.045029,212.621933,1105.132446,163.664688,233.377686,1256.036011,169.375443
32,0.266,42.769203,1169.16626,172.455536,30.839081,953.809021,182.266556,78.986382,1243.230835,195.545868,-70.447273,1305.287964,187.737808,57.789936,1030.287231,158.554092,-84.643715,1153.52124,202.992615,-110.855949,997.97113,202.532806,192.502243,944.266235,171.535812,212.152115,1105.086548,163.298965,233.041901,1255.683105,169.581207
33,0.275,42.66098,1169.084595,172.33667,30.310032,953.752502,181.488464,79.084137,1243.118408,195.707214,-70.269478,1305.363281,188.059296,57.368313,1030.142944,157.948456,-84.775162,1153.5802,203.005966,-111.179649,998.081848,202.635452,191.856293,943.933777,169.78569,211.685257,1104.971069,162.873306,232.612152,1255.244263,169.822723
34,0.283,42.465,1168.980713,172.166702,29.793383,953.729797,180.883286,79.083977,1243.174194,195.713272,-70.442741,1305.507202,188.049271,56.919086,1030.130981,157.490555,-85.115768,1153.63562,203.143829,-111.569771,998.04425,202.78215,191.270752,943.663574,168.379837,211.26474,1104.847168,162.383743,232.369247,1254.814209,169.897049
35,0.291,42.213638,1168.918091,171.923691,29.208679,953.679199,180.269669,79.020134,1243.299438,195.637711,-70.955788,1305.845459,187.803146,56.514431,1030.021606,157.001953,-85.399658,1153.64917,203.337524,-112.036209,998.041687,202.96286,190.663864,943.490356,166.920883,210.753937,1104.356079,161.891785,232.180588,1254.413208,169.966705
36,0.3,41.999012,1168.760132,171.826248,28.581308,953.628235,179.61203,78.871544,1243.439941,195.447021,-71.38488,1306.150513,187.709671,55.982033,1030.072754,156.591263,-85.780869,1153.719727,203.528122,-112.48275,998.113708,203.07048,189.848389,943.290161,165.225739,210.242264,1103.930176,161.569275,231.962387,1253.862793,170.133041
37,0.308,41.753479,1168.658691,171.650757,27.930616,953.40625,179.076904,78.715775,1243.519287,195.290848,-71.545364,1306.171997,187.893234,55.416538,1030.160034,156.223465,-85.96788,1153.84668,203.680145,-112.849052,998.277649,203.037857,189.080994,942.914246,163.771729,209.86351,1103.636719,161.325165,231.810898,1253.328125,170.243134
38,0.316,41.426735,1168.691895,171.456711,27.181028,953.441589,178.59996,78.587791,1243.470093,195.206177,-71.655884,1305.83374,188.697464,54.914845,1029.979248,155.869965,-86.195427,1153.986816,203.857971,-113.312325,998.456543,203.118286,188.281418,942.578857,162.512405,209.458969,1103.406494,160.988525,231.637177,1252.821777,170.362152
39,0.325,41.073303,1168.614258,171.190231,26.231325,953.405823,178.030655,78.433197,1243.355835,195.256805,-71.618759,1305.461792,189.385208,54.272285,1029.824341,155.605743,-86.597618,1154.120972,204.128052,-113.988976,998.671692,203.306778,187.333221,942.311829,161.097855,208.938187,1103.017822,160.596359,231.536575,1252.196045,170.623672
40,0.333,40.819691,1168.496338,171.090454,25.466038,953.387573,177.658356,78.085526,1243.264648,195.200638,-71.653122,1305.236328,189.916855,53.690094,1029.805176,155.403183,-87.079132,1154.267456,204.400253,-114.602837,998.833984,203.482986,186.3647,942.005005,159.873352,208.654053,1102.621704,160.209518,231.358078,1251.559448,170.848907
41,0.341,40.520477,1168.484375,171.028336,24.721064,953.411499,177.316422,77.951118,1243.08606,195.458328,-71.549896,1304.774292,190.636505,53.05175,1029.865234,155.148956,-87.656754,1154.460938,204.604446,-115.255623,999.032532,203.678696,185.502197,941.685181,158.778793,208.093475,1102.297852,159.859406,231.184799,1251.026245,171.039169
42,0.35,40.158268,1168.488037,171.006363,23.991177,953.360107,176.972504,77.559555,1243.04895,195.299484,-71.46846,1304.305664,191.282516,52.307018,1029.878784,154.831406,-88.250237,1154.614624,204.815811,-116.004021,999.21936,203.841049,184.607651,941.490723,157.533997,207.352386,1102.090454,159.619232,231.062042,1250.53186,171.203125
43,0.358,39.740501,1168.579346,170.995712,23.42914,953.368958,176.706619,77.257935,1243.041626,195.182266,-71.564514,1304.185181,191.572815,51.760319,1029.874023,154.62178,-88.694435,1154.68396,205.24852,-116.660492,999.322937,204.076569,183.873688,941.450012,156.511307,206.780716,1101.983032,159.150513,231.036499,1250.106689,171.368118
44,0.366,39.310772,1168.55188,171.027191,22.950516,953.315491,176.424133,77.005974,1243.026245,195.011017,-71.714561,1304.109741,191.862762,51.341724,1029.845703,154.451721,-89.139664,1154.636841,205.695801,-117.316368,999.371094,204.324814,183.040375,941.48877,155.55658,206.425034,1101.930786,158.770355,231.074188,1249.71582,171.530289
45,0.375,38.915974,1168.425781,171.151184,22.552711,953.22937,176.174072,76.789894,1242.954102,194.849152,-72.291389,1303.686157,192.357666,50.867367,1029.901978,154.118393,-89.818336,1154.545898,206.128387,-118.033913,999.332214,204.655945,182.269455,941.336548,154.449173,205.978989,1101.746582,158.38504,231.216324,1249.331787,171.707352
46,0.383,38.535496,1168.418457,171.145477,22.311682,953.104492,176.004105,76.607239,1242.807007,194.843369,-72.943336,1303.587646,192.977707,50.646847,1029.882812,154.05481,-90.42366,1154.480225,206.426498,-118.695396,999.25116,205.005081,181.747192,941.341675,153.434875,205.69725,1101.688965,158.153549,231.371689,1249.057251,171.948074
47,0.391,38.243988,1168.239136,171.21936,22.127258,953.000732,175.746689,76.427528,1242.512817,194.926651,-73.475067,1303.481201,193.355453,50.537895,1029.786133,154.080154,-90.837059,1154.317017,206.673981,-119.301498,999.110107,205.417831,181.337189,941.428711,152.615738,205.456741,1101.673828,157.993927,231.509155,1248.849976,172.201004
48,0.4,38.001511,1168.062988,171.311493,22.05658,952.878174,175.538971,75.796501,1241.99707,195.515594,-73.956825,1303.265747,193.706711,50.470428,1029.676514,154.135712,-91.166611,1154.143188,206.939255,-119.881493,998.939636,205.871033,180.848022,941.515137,151.725357,205.265167,1101.718506,157.958069,231.551956,1248.71814,172.502914
49,0.408,37.862389,1167.996094,171.393997,21.915421,952.638611,175.391922,75.259842,1241.688477,195.987091,-74.24572,1303.049438,194.084946,50.424007,1029.620605,154.189468,-91.48082,1153.939331,207.256989,-120.254852,998.721741,206.31633,180.528107,941.547668,151.045609,204.96022,1101.812744,158.165588,231.559113,1248.686523,172.71843
50,0.416,37.686146,1168.155396,171.469482,21.821661,952.548645,175.308502,75.005821,1241.500366,196.387192,-74.396927,1302.793457,194.596573,50.411366,1029.615967,154.227234,-91.888611,1153.724731,207.482819,-120.540947,998.492554,206.76828,180.359756,941.633545,150.538269,204.767532,1102.078613,158.605789,231.568802,1248.744019,172.848007
51,0.425,37.55724,1168.288452,171.619217,21.78043,952.51123,175.189606,74.944572,1241.55481,196.574249,-74.607796,1302.366943,195.047211,50.433308,1029.675537,154.257172,-92.286812,1153.522217,207.644562,-120.919228,998.239624,207.306351,180.232208,942.030579,149.983032,204.539291,1102.365112,159.095703,231.621429,1248.915405,172.952972
52,0.433,37.589931,1168.325195,171.873611,21.824665,952.562439,175.021957,75.011909,1241.888428,196.468704,-75.027649,1302.251099,195.599823,50.486149,1029.827148,154.287338,-92.569626,1153.351562,207.74437,-121.075203,997.99115,207.722931,180.212143,942.47467,149.611877,204.443924,1102.709595,159.748077,231.691574,1249.116333,173.016022
53,0.441,37.658466,1168.387085,172.106476,21.978708,952.605835,174.779388,75.118324,1242.421753,196.223892,-75.419899,1301.963867,195.92186,50.585369,1029.967041,154.327423,-92.714622,1153.027954,207.957108,-121.031227,997.802185,208.069962,180.296249,942.986816,149.286484,204.304764,1103.052124,160.431549,231.817596,1249.400146,173.027176
54,0.45,37.607567,1168.397949,172.493103,22.277672,952.669495,174.420547,75.367638,1243.212158,195.896866,-75.70874,1301.648071,196.371536,50.944553,1029.976562,154.597488,-92.776451,1152.592773,208.147186,-120.956062,997.26593,208.65123,180.505478,943.605225,149.002167,204.401016,1103.517212,161.271317,232.099899,1249.76355,172.997513
55,0.458,37.527477,1168.465576,172.933258,22.71207,952.700439,174.088852,75.818016,1244.31897,195.606918,-75.907417,1301.339844,196.779358,51.35619,1029.99231,154.78093,-92.737366,1152.103271,208.367172,-120.765274,996.733215,209.088989,180.776459,944.260803,148.889496,204.561295,1103.811035,162.090942,232.339645,1250.216064,172.987976
56,0.466,37.601234,1168.501709,173.289474,23.349771,952.732117,173.757782,76.235321,1245.258057,195.158081,-76.074951,1300.923706,197.252457,51.936138,1030.047241,155.007355,-92.700264,1151.532959,208.511642,-120.37693,996.288818,209.381104,181.323685,944.893494,148.940918,204.65564,1104.157837,162.865692,232.641296,1250.710327,172.884399
57,0.475,37.941559,1168.518799,173.73204,24.247208,952.635742,173.412659,76.63929,1246.073853,194.75975,-76.461754,1300.374146,197.875931,52.713886,1030.091553,155.332153,-92.596336,1150.937988,208.672791,-119.96698,995.671814,209.60881,181.962036,945.391052,148.969574,205.090408,1104.5448,164.056,232.957733,1251.110474,172.742493
58,0.483,38.355209,1168.421875,174.11676,25.257875,952.521423,173.197754,76.898727,1246.625977,194.502701,-76.681366,1299.950928,198.329941,53.49226,1029.988159,155.699203,-92.444908,1150.407715,208.888947,-119.588783,994.995117,209.892761,182.717987,945.736816,149.205688,205.574142,1104.696533,164.808456,233.209793,1251.455322,172.660599
59,0.491,38.888023,1168.226074,174.623978,26.424528,952.287476,173.181885,77.136276,1247.093628,194.354141,-76.903854,1299.336914,198.670975,54.357132,1029.960693,156.107941,-92.283257,1149.847412,209.134964,-119.071434,994.204041,210.092438,183.556702,946.067627,149.666016,206.45639,1104.854858,165.62439,233.478149,1251.89856,172.604446
60,0.5,39.625481,1167.921387,175.276611,27.800892,952.006226,173.226822,77.517647,1247.693726,194.18692,-77.075531,1298.54248,199.054871,55.494179,1029.942139,156.770416,-91.880882,1148.87915,209.578217,-118.460678,993.342041,210.311829,184.68338,946.445374,150.43924,207.655853,1105.124268,166.5858,233.966125,1252.473755,172.549622
61,0.508,40.180046,1167.697632,175.637711,29.170122,951.757812,173.366379,77.878395,1248.433594,193.77124,-77.162331,1297.869385,199.374588,56.439224,1029.761108,157.266144,-91.535095,1147.973877,209.919312,-117.747536,992.488464,210.645203,185.885834,946.630859,151.218124,208.400879,1105.254761,167.086472,234.302795,1252.840942,172.545319
62,0.516,40.726334,1167.429443,176.024017,30.653368,951.453186,173.651596,78.291428,1249.11853,193.518433,-77.486351,1296.910645,199.862869,57.581554,1029.478149,157.946625,-91.175232,1147.141724,210.236923,-116.890579,991.66394,210.818817,187.308884,946.713196,152.162964,209.272079,1105.37561,167.398773,234.64769,1253.17041,172.595627
63,0.525,41.261967,1167.120972,176.44429,32.352394,951.187744,174.078506,78.7575,1249.659058,193.202591,-77.919876,1295.911133,200.414062,58.825943,1029.087891,158.428909,-90.709641,1146.286133,210.449326,-115.965157,990.655273,210.707733,188.880585,946.640137,153.540421,210.365463,1105.554199,167.730362,235.227051,1253.604126,172.716034
64,0.533,41.766487,1166.723877,176.836166,33.82988,950.733276,174.649261,79.132797,1250.01001,192.98494,-78.116035,1295.101318,200.752228,60.129395,1028.645508,159.033401,-90.225906,1145.464722,210.630203,-115.089439,989.761353,210.596527,190.317932,946.56958,154.749573,211.134521,1105.69751,168.038666,235.652603,1253.856934,172.754776
65,0.541,42.341663,1166.299683,177.232971,35.161983,950.324768,175.25705,79.485664,1250.345825,192.790802,-78.064758,1294.338013,201.137192,61.514885,1028.112183,159.747635,-89.686607,1144.512695,211.032593,-114.102188,988.707275,210.487076,191.796921,946.365845,156.169022,212.259338,1105.770508,168.287857,236.151321,1254.039551,172.785339
66,0.55,43.098835,1165.707886,177.743042,36.68969,949.738464,176.209152,79.914726,1250.667969,192.570694,-77.954544,1293.523071,201.530075,62.78339,1027.743774,160.367065,-89.116806,1143.442139,211.409378,-112.853905,987.617798,210.197769,193.564331,946.065857,157.929855,213.143478,1105.790771,168.475967,236.695282,1254.328003,172.88884
67,0.558,43.706913,1165.248901,178.026108,38.027409,949.198669,177.246613,80.369858,1250.88855,192.291122,-78.126808,1292.49646,201.970627,63.942238,1027.295776,161.186523,-88.555092,1142.57959,211.737488,-111.595833,986.659668,209.885056,195.139786,945.708801,159.697372,213.743912,1105.762695,168.606888,237.126221,1254.449097,172.915024
68,0.566,44.232933,1164.87207,178.247787,39.213589,948.659851,178.173492,80.938057,1251.097534,192.056229,-78.230812,1291.613037,202.573975,64.786224,1026.961304,161.828766,-87.798981,1141.900635,211.958435,-110.402817,985.820801,209.556046,196.913162,945.068298,161.770462,214.695877,1105.743652,168.660599,237.510132,1254.491699,172.993622
69,0.575,44.83778,1164.299316,178.412399,40.594231,948.041809,179.562439,81.615471,1251.30957,191.89183,-78.183075,1290.756836,202.961304,65.643837,1026.533691,162.729309,-87.007347,1140.995972,212.154877,-108.939041,984.934631,209.05777,198.815323,944.467834,164.115646,215.631058,1105.572388,168.755814,238.077118,1254.311768,173.226776
70,0.583,45.493633,1163.786499,178.804138,41.693607,947.548767,180.708374,82.132935,1251.373169,191.856781,-78.099747,1289.984985,203.235168,66.464325,1026.069214,163.899643,-86.149918,1140.127808,212.54422,-107.497993,984.067139,208.465927,200.331985,943.939575,166.115402,216.54744,1105.191528,169.116196,238.73172,1254.001831,173.57489
71,0.591,46.076962,1163.279541,179.173157,42.803951,946.990784,181.960358,82.532295,1251.335449,191.896408,-77.822296,1289.232544,203.709595,67.176201,1025.604248,164.735199,-85.213051,1139.374878,212.689896,-106.049194,983.290894,207.921265,202.040726,943.417786,168.50351,217.65564,1104.900513,169.281845,239.299194,1253.630981,173.904343
72,0.6,46.710808,1162.589478,179.590607,43.940121,946.375122,183.389847,83.03389,1251.201904,192.150955,-77.730019,1288.389282,204.104172,67.993889,1024.996704,165.649002,-84.185112,1138.504761,212.887772,-104.429131,982.44751,207.341003,203.77327,942.657715,171.009995,218.649582,1104.525513,169.454636,239.840073,1253.243286,174.306671
73,0.608,47.252937,1161.878418,179.94606,44.924458,945.761719,184.719666,83.413124,1250.971802,192.300125,-77.693283,1287.662354,204.407394,68.805374,1024.330933,166.509674,-83.402214,1137.742676,213.21051,-102.90934,981.560425,206.832794,205.311325,942.052429,173.371094,219.678177,1104.072144,169.720764,240.282867,1252.877563,174.658905
74,0.616,47.688541,1161.220337,180.198029,45.838188,944.959656,186.206497,83.810005,1250.628174,192.538483,-77.582336,1286.518066,204.94101,69.676804,1023.650391,167.496078,-82.529724,1136.771118,213.755569,-101.251266,980.651123,206.419083,206.66333,941.448792,175.477539,220.863708,1103.498779,170.293076,240.735184,1252.447998,175.09874
75,0.625,48.220871,1160.403076,180.553787,46.886444,944.182678,187.956589,84.283287,1250.082764,192.924255,-77.161819,1285.160889,205.612839,70.473976,1023.014282,168.314224,-81.701752,1135.776855,214.366531,-99.479591,979.528076,205.975296,208.099533,940.62793,177.861877,221.919235,1102.755615,170.959183,241.173111,1251.967285,175.418716
