Format Version,1.23,Take Name,Take 2023-10-19 07.22.23 PM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2023-10-19 07.22.23.895 下午,Capture Start Frame,2407046,Total Frames in Take,2373,Total Exported Frames,2373,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global,,,,,,,,
12,0.1,43.860077,929.290649,-89.301056,-70.466576,1135.696167,-80.326149,-38.805798,1289.912109,-91.47776,270.776764,1211.996216,-76.880478,-100.872261,981.84967,-69.411736,80.486908,1007.462952,-94.571541,202.816208,906.749451,-61.61414,113.888481,1231.566284,-80.63765,240.990372,1064.927979,-75.794891,65.423088,1140.145142,-79.130356
13,0.108,43.8624,929.304443,-89.776215,-70.57431,1135.749268,-80.766945,-38.66954,1289.970581,-91.525627,270.885498,1211.716553,-76.869644,-100.87484,981.917603,-70.780296,80.479431,1007.364014,-94.675339,202.514114,906.612976,-61.417995,114.110367,1231.588745,-81.043129,241.023422,1064.626465,-75.762558,65.565437,1140.098511,-79.230118
14,0.116,43.847206,929.341858,-90.237381,-70.657852,1135.805908,-81.285965,-38.549778,1290.05249,-91.578857,270.981262,1211.404175,-76.926918,-101.054176,981.921387,-72.251755,80.42971,1007.315735,-94.770874,202.267151,906.461609,-61.282509,114.365128,1231.635376,-81.235298,241.044403,1064.356812,-75.668869,65.673309,1140.110107,-79.342766
15,0.125,43.815334,929.395813,-90.726723,-70.673279,1135.946045,-82.007797,-38.2313,1290.139648,-91.594063,271.08902,1211.026001,-76.913559,-101.191216,982.047546,-73.72184,80.413902,1007.269836,-94.980255,202.047943,906.266846,-61.163071,114.647705,1231.616211,-81.392639,240.989853,1064.094604,-75.59314,65.831039,1139.985474,-79.505798
16,0.133,43.770901,929.460571,-91.183479,-70.660843,1136.139038,-82.7547,-38.083904,1290.193726,-91.655846,271.19635,1210.632935,-76.87326,-101.465996,982.09967,-74.951942,80.078377,1007.400391,-95.340721,201.846588,906.125305,-61.058159,114.887466,1231.590698,-81.488152,240.919357,1063.885742,-75.511696,65.957558,1139.988281,-79.583763
17,0.141,43.709579,929.630615,-91.639908,-70.638496,1136.333862,-83.393387,-37.950405,1290.306519,-91.726654,271.293396,1210.297852,-76.796715,-101.673721,982.231323,-76.143509,79.828621,1007.457825,-95.426575,201.453217,905.972778,-60.97644,115.104057,1231.590332,-81.555901,240.822876,1063.659912,-75.496239,66.131927,1140.038696,-79.688728
18,0.15,43.598385,929.692139,-92.255371,-70.661896,1136.469604,-84.024765,-37.76749,1290.394287,-91.673012,271.364319,1209.978271,-76.765221,-101.745934,982.615967,-77.513962,79.630692,1007.47406,-95.490921,200.829941,905.889648,-60.792213,115.283379,1231.597168,-81.609299,240.65065,1063.42981,-75.370056,66.324257,1140.095215,-79.799171
19,0.158,43.507103,929.769775,-92.621437,-70.721642,1136.621948,-84.534286,-37.461208,1290.446655,-91.682037,271.408691,1209.754028,-76.748314,-101.920258,982.856079,-78.696999,79.531204,1007.478088,-95.531883,200.371445,905.866821,-60.667187,115.353569,1231.599487,-81.584381,240.451096,1063.241699,-75.265427,66.305923,1140.172485,-79.905945
20,0.166,43.181679,929.928955,-92.997658,-70.713814,1136.839844,-85.045052,-37.302879,1290.531372,-91.750229,271.363037,1209.625244,-76.814247,-102.294746,983.107117,-79.832642,79.431679,1007.50708,-95.597237,199.987381,905.747192,-60.578735,115.5112,1231.619141,-81.407318,240.250977,1063.046265,-75.206001,66.116348,1140.36145,-79.874039
21,0.175,42.554752,929.873718,-93.274513,-70.735207,1137.036621,-85.688637,-37.201408,1290.748779,-91.805748,271.335449,1209.425537,-76.825089,-102.711357,983.357483,-80.836021,79.308601,1007.533813,-95.699455,199.642105,905.549683,-60.514488,115.39798,1231.627563,-81.56559,239.992737,1062.771851,-75.174835,65.835907,1140.415771,-79.916763
22,0.183,41.923691,929.802002,-93.44606,-70.788727,1137.301025,-86.231804,-37.205624,1290.94751,-91.871819,271.307617,1209.20105,-76.797661,-103.141449,983.540466,-81.680519,79.134682,1007.595093,-95.764473,199.149826,905.315979,-60.516296,115.286827,1231.638306,-81.56086,239.839874,1062.57666,-75.128044,65.609528,1140.468994,-79.914551
23,0.191,41.293266,929.808044,-93.567032,-70.95343,1137.618896,-86.850311,-37.188816,1291.158081,-91.948334,271.258179,1209.021118,-76.811661,-103.57254,983.720825,-82.647583,78.957245,1007.643677,-95.788559,198.536087,905.251526,-60.467434,115.331505,1231.618286,-81.330963,239.643677,1062.389526,-75.089249,65.305618,1140.499634,-80.09903
24,0.2,40.728107,929.889099,-93.812149,-71.167595,1137.887695,-87.322212,-37.141663,1291.369507,-92.016251,271.237549,1208.731201,-76.736557,-103.946602,984.096497,-83.621849,78.759636,1007.686523,-95.844742,197.965118,905.231873,-60.469723,115.366135,1231.577393,-81.243668,239.395325,1062.181274,-75.023567,65.063141,1140.547363,-80.143929
25,0.208,40.331402,930.023743,-94.144951,-71.382004,1138.035156,-87.630692,-37.10535,1291.531372,-92.064026,271.222778,1208.426514,-76.675537,-104.06192,984.468933,-84.491371,78.569298,1007.723938,-95.894577,197.574249,905.156555,-60.470623,115.391212,1231.576904,-81.281067,239.16893,1062.00769,-74.991081,64.904579,1140.550781,-80.153259
26,0.216,39.959038,930.12085,-94.473099,-71.584015,1138.226074,-87.991539,-37.057247,1291.69397,-92.107178,271.252228,1208.096191,-76.536949,-104.265587,984.70813,-85.362152,78.394676,1007.73584,-95.980553,197.19516,905.024597,-60.449219,115.486153,1231.57312,-81.282692,238.928101,1061.829956,-74.967415,64.769173,1140.555908,-80.185989
27,0.225,39.575279,930.182007,-94.76722,-71.683022,1138.412109,-88.408188,-36.886826,1291.890015,-92.093109,271.273895,1207.751587,-76.421883,-104.686363,984.918457,-86.200012,78.218178,1007.738098,-96.061607,196.498291,904.66687,-60.376934,115.606529,1231.544434,-81.309959,238.579102,1061.610718,-74.877403,64.660271,1140.571533,-80.223579
28,0.233,39.255375,930.221741,-94.945068,-71.720276,1138.599731,-88.777153,-36.824295,1291.988281,-92.12944,271.283539,1207.495483,-76.348854,-105.032608,985.060303,-86.66716,78.05072,1007.758484,-96.151115,196.01918,904.466797,-60.173744,115.719475,1231.519165,-81.326721,238.398376,1061.417603,-74.834763,64.606567,1140.568359,-80.270348
29,0.241,38.963329,930.23822,-95.282654,-71.707207,1138.750732,-89.087891,-36.746674,1292.072388,-92.152443,271.328857,1207.23645,-76.276665,-105.39061,985.238831,-87.157616,77.926025,1007.735229,-96.23671,195.676147,904.337769,-60.063847,115.782631,1231.479614,-81.313072,238.244797,1061.286987,-74.926338,64.590096,1140.573364,-80.306908
30,0.25,38.764603,930.301208,-95.585083,-71.664574,1138.910889,-89.452621,-36.658333,1292.120972,-92.161537,271.419342,1206.942017,-76.196564,-105.656471,985.404053,-87.672119,77.734451,1007.70282,-96.39151,195.365646,904.210449,-59.984535,115.909103,1231.211426,-81.368958,238.191406,1061.140015,-75.121681,64.591133,1140.567749,-80.376854
31,0.258,38.689377,930.249084,-95.755386,-71.673172,1138.966064,-89.720078,-36.577431,1292.136353,-92.181709,271.515472,1206.66333,-76.160934,-105.920616,985.472839,-88.183754,77.590843,1007.680786,-96.514618,195.114349,904.030151,-59.843002,115.989067,1231.080566,-81.35199,238.14801,1061.016602,-75.135712,64.627602,1140.543091,-80.426903
32,0.266,38.611839,930.17804,-95.904686,-71.761719,1139.023682,-89.938286,-36.514751,1292.095825,-92.228256,271.663696,1206.341675,-76.082108,-106.14415,985.427979,-88.596664,77.558128,1007.590515,-96.624832,194.807907,903.738159,-59.634853,116.075935,1230.998535,-81.324524,238.122925,1060.727173,-75.095665,64.638245,1140.468262,-80.552177
33,0.275,38.536781,930.080383,-96.036011,-71.850365,1138.93396,-90.309578,-36.409271,1292.015381,-92.288918,271.836334,1205.9729,-76.031494,-106.282143,985.351135,-88.952805,77.502205,1007.468201,-96.715454,194.544403,903.501892,-59.38205,116.197807,1230.917969,-81.328606,238.04982,1060.324707,-75.051109,64.679977,1140.349731,-80.634178
34,0.283,38.509541,929.919312,-96.118347,-71.818687,1138.864868,-90.468781,-36.303764,1291.861938,-92.317543,271.976624,1205.682495,-76.062225,-106.330933,985.292419,-89.198509,77.483856,1007.325439,-96.803711,194.337524,903.368469,-59.122166,116.350967,1230.816162,-81.315063,238.228668,1060.074463,-74.995834,64.800247,1140.043823,-80.635605
35,0.291,38.519047,929.710205,-96.187828,-71.764481,1138.740967,-90.543816,-36.168209,1291.679565,-92.336182,272.090179,1205.491333,-76.162834,-106.314301,985.161438,-89.3629,77.515915,1007.182617,-96.874901,194.269669,903.217102,-58.892372,116.487411,1230.695557,-81.33651,238.246613,1059.828491,-75.063881,64.840195,1139.76001,-80.645271
36,0.3,38.609917,929.48584,-96.277008,-71.756828,1138.463989,-90.60434,-36.008797,1291.430298,-92.365479,272.269562,1205.25061,-76.31311,-106.200951,984.914246,-89.534012,77.646706,1007.001526,-96.916039,194.327682,903.003235,-58.664639,116.643356,1230.56311,-81.342651,238.428024,1059.426392,-75.143883,64.872154,1139.45105,-80.652573
37,0.308,38.836399,929.193237,-96.398018,-71.725861,1138.223022,-90.589478,-35.869678,1291.167114,-92.354889,272.542267,1205.02417,-76.407982,-106.008629,984.650635,-89.662872,77.715446,1006.779541,-96.930115,194.540253,902.709778,-58.422115,116.79998,1230.425903,-81.338081,238.714798,1059.097046,-75.178307,65.276146,1139.345947,-80.854469
38,0.316,39.21941,928.914856,-96.453186,-71.482124,1137.820068,-90.422546,-35.580967,1290.85498,-92.419136,273.008087,1204.781738,-76.536499,-105.724319,984.31842,-89.841103,77.825287,1006.538025,-96.935051,195.02005,902.375,-58.140594,116.985947,1230.247925,-81.333611,239.037247,1058.778564,-75.202499,65.816971,1139.312012,-81.185341
39,0.325,39.784161,928.607666,-96.486786,-71.165283,1137.383301,-90.389091,-35.38982,1290.541626,-92.472694,273.493927,1204.57019,-76.628159,-105.333687,983.89624,-89.899666,78.051239,1006.229187,-96.938423,195.638168,901.998718,-57.814865,117.119888,1229.997437,-81.314232,239.633408,1058.515503,-75.328712,66.441185,1139.219604,-81.481865
40,0.333,40.4426,928.263306,-96.458702,-70.76902,1136.87854,-90.38163,-35.152504,1290.141968,-92.597946,273.987366,1204.404541,-76.750153,-104.917419,983.465637,-89.748047,78.331871,1005.948425,-96.925392,196.287628,901.780457,-57.51247,117.141212,1229.598999,-81.287079,240.166077,1058.329712,-75.416695,67.005142,1139.043335,-81.716835
41,0.341,41.216473,927.958008,-96.278275,-70.313095,1136.364868,-90.366333,-34.969097,1289.628906,-92.628334,274.480499,1204.319824,-76.988777,-104.454391,982.969666,-89.59082,78.705963,1005.488525,-96.952911,196.8508,901.63855,-57.264656,117.311821,1229.226807,-81.245171,240.869751,1058.136719,-75.490868,67.61203,1138.742554,-81.956635
42,0.35,42.098885,927.571228,-96.105225,-69.74337,1135.734619,-90.31041,-34.685646,1289.127441,-92.607361,275.229889,1204.23999,-77.187698,-103.611771,982.337585,-89.337738,79.355919,1004.963257,-96.921501,197.554108,901.582581,-56.995342,117.806778,1229.005005,-81.368126,241.765656,1057.930176,-75.487328,68.310699,1138.398438,-82.103973
43,0.358,43.055214,927.053223,-95.835587,-69.203377,1135.110474,-90.300156,-34.428356,1288.450562,-92.652283,276.025574,1204.100464,-77.249077,-102.854561,981.528259,-88.995193,80.120811,1004.572266,-96.991058,198.704147,901.672485,-56.891792,118.693169,1228.798096,-81.535912,242.598221,1057.751953,-75.403389,68.866631,1138.046875,-82.269852
44,0.366,44.104511,926.557251,-95.571693,-68.655281,1134.496704,-90.273094,-33.91943,1287.798462,-92.79081,276.842712,1203.99353,-77.322777,-102.027863,980.659851,-88.703873,81.280365,1004.136108,-96.729202,199.827087,901.729553,-56.525913,119.433853,1228.69873,-81.868584,243.592148,1057.746582,-75.382362,69.753899,1137.644409,-82.542244
45,0.375,45.661823,925.861328,-95.216385,-67.794861,1133.63269,-90.21331,-33.286388,1286.902344,-93.00779,277.918671,1204.010254,-77.509125,-100.678757,979.680115,-88.350487,82.742447,1003.580322,-96.577515,201.329941,901.743408,-56.072994,120.230148,1228.63501,-82.209351,244.760742,1057.832642,-75.575714,70.85997,1137.284424,-82.860664
46,0.383,47.213413,925.277466,-94.832352,-66.75148,1132.591553,-89.929169,-32.861622,1286.137451,-92.979088,278.825745,1204.204712,-77.742523,-99.372841,978.895569,-87.92466,84.092758,1003.285278,-96.627762,202.995605,901.849121,-55.728691,121.139442,1228.412354,-82.370308,245.95372,1057.960815,-75.632477,71.917648,1136.992554,-83.193382
47,0.391,48.90889,924.806458,-94.465416,-65.687614,1131.740601,-89.77919,-32.533482,1285.590942,-93.098671,279.879761,1204.496826,-77.968018,-97.849754,977.916626,-87.552284,85.510376,1003.119202,-96.671585,204.678925,901.950317,-55.320091,121.991714,1228.243774,-82.602371,247.346512,1058.160522,-75.580238,72.977219,1136.726318,-83.542458
48,0.4,51.116699,924.332947,-93.973419,-64.525223,1130.762817,-89.69072,-31.866007,1284.569946,-93.229164,281.147644,1204.816284,-78.095261,-96.021126,976.577637,-87.139168,87.326157,1002.665649,-96.521851,207.057938,902.096497,-54.798737,123.093079,1228.285156,-82.968445,249.140533,1058.34436,-75.502602,74.457878,1136.345947,-83.886124
49,0.408,53.316555,923.77594,-93.775383,-63.329727,1129.60437,-89.585335,-31.064007,1283.616821,-93.267281,282.304382,1205.143555,-78.168037,-94.317955,975.312134,-86.395035,89.146553,1002.047058,-96.287399,209.424866,902.045532,-54.378628,124.002747,1228.276733,-83.322731,250.924469,1058.564819,-75.444382,75.965393,1135.856812,-84.099503
50,0.416,55.807178,923.239197,-93.477013,-62.009232,1128.428467,-89.458061,-30.430632,1282.509155,-93.401482,283.641205,1205.49353,-78.150238,-92.363533,974.094666,-85.93335,90.805573,1001.639465,-96.03009,211.938965,902.237122,-53.733349,125.096275,1228.242798,-83.693985,252.653,1058.983032,-75.539978,77.406326,1135.428955,-84.429237
51,0.425,58.839153,922.646851,-92.939888,-60.417446,1127.143433,-89.291542,-29.857937,1281.519287,-93.697418,285.280487,1205.95459,-78.202698,-89.597359,972.562561,-85.274139,92.685799,1001.141174,-95.826591,214.796158,902.766541,-53.349895,126.569557,1228.323364,-84.135132,254.666092,1059.690552,-75.60746,79.22583,1135.150391,-84.82917
52,0.433,61.619179,922.059082,-92.278931,-58.801453,1125.903931,-89.258408,-28.733831,1280.452515,-93.805855,286.697784,1206.596191,-78.106392,-87.260262,971.186707,-84.795998,95.025414,1000.627991,-95.307121,217.850677,903.19574,-52.935196,127.888542,1228.412964,-84.507843,256.863312,1060.199585,-75.342735,80.96302,1134.825928,-85.316818
53,0.441,64.438957,921.301208,-91.717735,-57.098152,1124.549683,-89.039009,-28.060593,1279.240112,-94.077248,288.159851,1207.359619,-78.137337,-84.584541,969.523682,-84.027519,97.707146,1000.320679,-95.480331,221.024323,903.559814,-52.370014,129.198349,1228.480103,-84.772865,259.105804,1060.628052,-75.0979,82.819458,1134.603149,-85.773911
54,0.45,68.054893,920.5177,-91.033371,-55.075611,1123.059204,-88.866585,-26.627811,1277.994507,-94.141876,290.000244,1208.307617,-78.053497,-81.258476,967.904297,-83.240608,101.056549,999.818054,-95.302315,224.932861,904.040588,-51.678871,130.849701,1228.333496,-84.851929,261.717377,1061.488525,-74.974434,85.345795,1134.012573,-86.22216
55,0.458,71.467857,920.081177,-90.424065,-52.98962,1121.613281,-88.840027,-25.848742,1276.848389,-94.570953,291.836243,1209.233643,-77.819717,-78.12323,966.317139,-82.649338,103.949448,999.543457,-95.337502,228.667618,904.705383,-51.188972,132.40155,1228.403809,-85.086861,264.223419,1062.495605,-74.461349,87.581154,1133.662476,-86.539993
56,0.466,75.327438,919.687195,-89.896423,-50.731674,1120.198486,-88.574738,-24.393009,1275.566528,-94.847145,293.722198,1210.125244,-77.557045,-74.803185,964.711304,-81.900505,107.161789,999.180725,-95.127586,232.635361,905.543152,-50.723812,134.153656,1228.370972,-85.171829,266.788361,1063.610474,-74.180908,89.761261,1133.257446,-86.939095
57,0.475,80.067436,919.103577,-89.129333,-47.993534,1118.476685,-88.497299,-23.008787,1274.200439,-95.134651,295.912384,1211.409912,-77.386681,-70.662231,962.745361,-80.978165,110.820297,998.699829,-95.232765,237.55101,906.745789,-50.091621,135.920471,1228.303345,-85.264999,269.967743,1065.02002,-73.820427,92.362877,1132.759155,-87.380013
58,0.483,84.550613,918.821533,-88.517235,-45.464241,1116.905273,-88.191513,-21.756382,1272.901733,-95.786591,297.919373,1213.119751,-77.447693,-66.821671,961.031616,-80.177284,114.612862,998.362793,-95.048294,242.123077,907.988586,-49.497601,137.684845,1228.518066,-85.419098,273.210999,1066.374634,-73.105087,95.305382,1132.419922,-87.527008
59,0.491,89.325211,918.727783,-87.722748,-42.715355,1115.303223,-88.231804,-20.081051,1271.483765,-96.002754,300.095703,1215.098511,-77.466187,-62.530838,959.302307,-79.524147,118.378426,998.55072,-95.217735,246.779434,909.473877,-49.00629,139.750504,1228.666626,-85.393669,276.4505,1067.903198,-72.472115,98.193169,1132.331543,-87.879082
60,0.5,95.016953,918.29187,-86.880447,-39.34528,1113.44873,-88.02314,-18.087759,1269.98291,-96.42627,302.455261,1217.547241,-77.542191,-57.377132,957.370544,-78.607117,122.909981,998.522522,-95.211761,252.469452,911.597961,-48.164013,142.113571,1229.050415,-85.598183,280.320282,1070.031128,-71.733902,101.824425,1132.220825,-88.265892
61,0.508,100.501953,918.277039,-85.974594,-36.25013,1111.722778,-88.026123,-16.701649,1268.358154,-96.896927,304.690399,1219.979736,-77.667076,-52.489971,955.350037,-77.721161,127.598587,998.608582,-95.659126,258.252716,913.753113,-47.323307,144.367035,1229.635742,-85.939026,284.124084,1072.320312,-70.9179,105.193024,1132.058228,-88.436371
62,0.516,106.456711,918.312317,-85.122742,-32.892647,1109.717163,-87.913353,-15.123842,1266.83252,-97.352585,307.041626,1222.720093,-77.874222,-47.204544,953.307373,-76.897545,132.280426,998.467346,-95.227272,264.093658,915.365173,-46.272076,146.643921,1230.195557,-86.290009,287.966431,1074.9104,-70.418701,108.623367,1132.117554,-88.638596
63,0.525,113.590149,918.423035,-84.335365,-28.882259,1107.627563,-87.775009,-13.163684,1265.029297,-97.860977,309.647736,1226.185547,-78.186874,-40.779308,950.998596,-75.932381,138.04567,998.944336,-95.236702,271.293976,917.768921,-44.922531,149.09201,1230.867188,-86.463409,292.579773,1078.007446,-69.448547,112.850998,1132.257812,-88.765884
64,0.533,120.509201,918.735291,-83.586815,-24.95936,1105.702759,-88.064453,-11.260515,1263.14624,-98.323906,312.049103,1229.5354,-78.472755,-34.859169,948.843872,-74.854134,143.765335,999.463379,-95.87291,277.938599,920.686523,-43.763271,151.331116,1231.199463,-86.480995,296.873596,1081.206055,-69.002968,116.656853,1132.571411,-89.08065
65,0.541,127.762436,919.302612,-82.845428,-20.816298,1103.585083,-88.156845,-9.246979,1261.321411,-98.84462,314.418671,1233.161377,-78.906105,-28.384321,946.648865,-73.97493,149.817841,1000.064392,-96.174522,284.965729,923.962402,-42.649658,153.585907,1231.793579,-86.744781,301.427795,1084.40918,-68.22715,120.68959,1132.842285,-89.303146
66,0.55,136.376831,919.931396,-81.934998,-15.925838,1101.252075,-88.248169,-6.856437,1259.081543,-99.368561,317.051239,1237.453735,-79.380608,-20.469957,944.211792,-72.975685,156.957199,1001.055603,-96.495552,293.144287,928.214172,-40.926228,156.526505,1232.891235,-87.264328,306.702057,1088.395874,-67.404472,125.366913,1133.143555,-89.445
67,0.558,144.262863,920.552368,-81.134186,-11.403656,1099.294922,-88.520844,-4.659129,1257.324585,-99.67926,319.327972,1241.593018,-79.884323,-13.342193,942.189514,-72.06163,163.711441,1001.605042,-96.720741,300.721039,932.381409,-39.023987,159.018997,1233.875,-87.701904,311.359344,1092.340942,-67.008751,129.788391,1133.531006,-89.427124
68,0.566,152.484726,921.619629,-80.357666,-6.468329,1097.185791,-88.705643,-2.595314,1255.614502,-100.477814,321.675995,1245.983276,-80.39209,-5.525774,940.250366,-71.194885,170.568344,1002.896057,-97.285316,308.53186,936.233276,-37.251469,161.699936,1234.622559,-88.005554,316.419312,1096.542114,-66.359642,134.052383,1134.134033,-89.718658
69,0.575,162.123688,923.19928,-79.645218,-0.490339,1094.893066,-89.067795,-0.200783,1253.644287,-100.983543,324.146332,1251.203613,-81.105324,3.499748,938.012939,-70.451378,178.885498,1004.341492,-97.511871,317.324249,941.100891,-35.548492,164.561188,1235.615723,-88.483788,322.016907,1101.547607,-65.835052,139.008545,1134.84375,-89.753929
70,0.583,171.086777,924.461121,-78.881622,4.996613,1092.813477,-89.537209,2.232332,1251.594971,-101.698761,326.240692,1255.944946,-81.542114,11.797902,936.205627,-69.709305,186.263123,1005.816956,-97.334206,325.703278,945.733398,-33.486076,166.980286,1236.675171,-88.725403,327.050232,1106.182983,-65.251762,143.41777,1135.424438,-89.643852
