Format Version,1.23,Take Name,silk_hang_exp_6,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 04.26.09.270 下午,Capture Start Frame,453845,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116,0.000101,0.000029,-0.000418,1,-52.251877,69.440041,33.004726,-51.787025,71.723709,68.752068,-51.806236,67.187187,68.907959,-52.698307,67.06601,-2.912936,-52.715935,71.783272,-2.728176,-51.777565,71.735725,68.740372,-51.8148,67.176636,68.9049,-52.689224,67.083099,-2.91123,-52.727764,71.760468,-2.712653,-74.782272,90.585503,22.366972,-63.551182,90.134674,51.849258,-68.621811,105.817162,37.14661,-74.179329,106.426094,21.928841,-63.286964,105.665527,52.025349,-68.256813,80.088066,41.293839,-72.630554,96.165794,28.764784,-64.601944,74.298004,51.013649,-75.754372,74.92775,22.006916,-70.379272,73.190163,36.490692
15,0.125,0.000099,0.000029,-0.000472,1,-52.251522,69.439941,33.005005,-51.786469,71.723709,68.752335,-51.806171,67.187187,68.908241,-52.69817,67.065796,-2.912643,-52.71529,71.783073,-2.727908,-51.77734,71.735733,68.740669,-51.814796,67.176262,68.903809,-52.689331,67.083488,-2.910501,-52.726662,71.759628,-2.711003,-74.781242,90.582565,22.370838,-63.536652,90.13826,51.843346,-68.620094,105.816147,37.145393,-74.180542,106.42382,21.927092,-63.287823,105.666962,52.024986,-68.267067,80.085922,41.301235,-72.622307,96.160202,28.763384,-64.612282,74.294937,51.027405,-75.757797,74.924202,22.016693,-70.420471,73.187637,36.514301
16,0.133,0.000094,0.00003,-0.000612,1,-52.252121,69.439468,33.004955,-51.786327,71.72345,68.752258,-51.807301,67.186943,68.908218,-52.699535,67.065102,-2.91267,-52.715324,71.782379,-2.727979,-51.777153,71.734833,68.740768,-51.816124,67.176369,68.903557,-52.690296,67.082443,-2.910318,-52.727043,71.759689,-2.711174,-74.784218,90.57959,22.372705,-63.528519,90.140503,51.842499,-68.621536,105.814873,37.143974,-74.182251,106.421295,21.928314,-63.289314,105.667969,52.023869,-68.274834,80.082474,41.313068,-72.616066,96.156837,28.763283,-64.625565,74.293144,51.03857,-75.75618,74.922325,22.023996,-70.439041,73.189339,36.527931
17,0.141,0.000087,0.000023,-0.000593,1,-52.252857,69.439545,33.004944,-51.787697,71.724052,68.752228,-51.808506,67.187538,68.908241,-52.699631,67.064667,-2.912658,-52.715599,71.781944,-2.728027,-51.77869,71.735641,68.739616,-51.817249,67.176628,68.903908,-52.690392,67.082809,-2.909008,-52.726906,71.759201,-2.712175,-74.784698,90.579193,22.376118,-63.517315,90.141029,51.840614,-68.623581,105.812248,37.144806,-74.181778,106.417725,21.929918,-63.29044,105.667854,52.022911,-68.28511,80.08062,41.315536,-72.609314,96.151108,28.759327,-64.66275,74.281898,51.054405,-75.751595,74.916145,22.03393,-70.463028,73.18351,36.546284
18,0.15,0.000103,0.000031,-0.000486,1,-52.252151,69.439552,33.00515,-51.786846,71.723061,68.752495,-51.806675,67.186546,68.908363,-52.699055,67.065674,-2.912512,-52.716034,71.782944,-2.727744,-51.777428,71.734703,68.739929,-51.815628,67.175819,68.90432,-52.689587,67.083015,-2.909645,-52.727974,71.760506,-2.711284,-74.787354,90.579712,22.381224,-63.506897,90.139908,51.836098,-68.624435,105.807915,37.144802,-74.184052,106.416977,21.930637,-63.291466,105.666115,52.022053,-68.294701,80.078201,41.322456,-72.605118,96.147987,28.754599,-64.692406,74.274239,51.076519,-75.742134,74.917358,22.040453,-70.488968,73.179039,36.56295
19,0.158,0.000093,0.00003,-0.000439,1,-52.252625,69.439629,33.004688,-51.787632,71.723892,68.751991,-51.807041,67.187378,68.907951,-52.699207,67.06498,-2.912933,-52.716629,71.782265,-2.728251,-51.779293,71.735229,68.739792,-51.814686,67.177299,68.905251,-52.69125,67.082504,-2.910907,-52.726833,71.759262,-2.71307,-74.789413,90.578583,22.384592,-63.495869,90.136543,51.831078,-68.625885,105.80661,37.146599,-74.183655,106.418541,21.929129,-63.292133,105.662941,52.022205,-68.304642,80.074463,41.328152,-72.599808,96.146103,28.755764,-64.718849,74.269798,51.086735,-75.732239,74.919548,22.04394,-70.510567,73.178894,36.574509
20,0.166,0.000099,0.000026,-0.000398,1,-52.252506,69.440262,33.003963,-51.788025,71.724091,68.751297,-51.807056,67.187569,68.907204,-52.698563,67.066071,-2.91369,-52.716385,71.78334,-2.728954,-51.7803,71.735733,68.740227,-51.814419,67.176888,68.902954,-52.69088,67.083893,-2.911433,-52.726055,71.760216,-2.713235,-74.793083,90.580406,22.387831,-63.48576,90.135063,51.825947,-68.627533,105.806145,37.147915,-74.186142,106.418907,21.930902,-63.293404,105.654358,52.020515,-68.314781,80.073486,41.330349,-72.59539,96.145592,28.756798,-64.745193,74.268555,51.098969,-75.721924,74.9189,22.042921,-70.535538,73.176804,36.58242
21,0.175,0.000099,0.000018,-0.000705,1,-52.252804,69.440277,33.005054,-51.78743,71.723846,68.75238,-51.80925,67.18734,68.908295,-52.699818,67.066322,-2.912599,-52.714729,71.7836,-2.727866,-51.77816,71.735603,68.740936,-51.81778,67.17691,68.904686,-52.691097,67.083771,-2.911051,-52.726139,71.760162,-2.711548,-74.794479,90.580482,22.389111,-63.475056,90.134262,51.818913,-68.627541,105.807266,37.149498,-74.186333,106.419395,21.934282,-63.294838,105.650833,52.019955,-68.326942,80.072311,41.327934,-72.592834,96.147224,28.753036,-64.788124,74.259254,51.108421,-75.709213,74.919662,22.040903,-70.559311,73.175255,36.588367
22,0.183,0.000093,0.000003,-0.000759,1,-52.253384,69.440056,33.004864,-51.788857,71.723969,68.752197,-51.811172,67.187469,68.908157,-52.699554,67.06575,-2.912781,-52.713966,71.783035,-2.728102,-51.779575,71.736076,68.739494,-51.819454,67.176956,68.905556,-52.690815,67.083084,-2.91101,-52.725445,71.75975,-2.71215,-74.796906,90.581009,22.392416,-63.466244,90.131584,51.816345,-68.627975,105.80574,37.149994,-74.187042,106.421005,21.934988,-63.292988,105.653015,52.022667,-68.335464,80.069977,41.331463,-72.59005,96.148796,28.74876,-64.817581,74.256119,51.109673,-75.693665,74.922562,22.035917,-70.580803,73.1754,36.591755
23,0.191,0.000097,0.000019,-0.000794,1,-52.252613,69.439278,33.004425,-51.78677,71.722878,68.751755,-51.809399,67.186378,68.907677,-52.700115,67.065292,-2.913228,-52.714188,71.782578,-2.72851,-51.777424,71.73497,68.741386,-51.818039,67.175629,68.903549,-52.691086,67.082581,-2.91187,-52.725983,71.759331,-2.712483,-74.797661,90.583717,22.391907,-63.458138,90.130516,51.810974,-68.62706,105.806564,37.150345,-74.189682,106.421959,21.9352,-63.290638,105.654076,52.022808,-68.34465,80.068169,41.327709,-72.588249,96.149658,28.749592,-64.841934,74.261261,51.11924,-75.678551,74.925781,22.030476,-70.602478,73.175636,36.595829
24,0.2,0.000095,0.000029,-0.000594,1,-52.251686,69.438789,33.004402,-51.786076,71.722755,68.751717,-51.806892,67.186249,68.907669,-52.69891,67.064445,-2.913231,-52.714874,71.781723,-2.728537,-51.776958,71.735916,68.741524,-51.815407,67.174416,68.903038,-52.690006,67.081696,-2.911482,-52.726246,71.759018,-2.712884,-74.800003,90.585075,22.388912,-63.450748,90.129433,51.805706,-68.626106,105.807755,37.150066,-74.192017,106.422188,21.936256,-63.287647,105.653763,52.022327,-68.351921,80.068703,41.327705,-72.588051,96.151772,28.750095,-64.872917,74.262909,51.125294,-75.659851,74.926949,22.025278,-70.624855,73.176804,36.599609
25,0.208,0.000106,0.000039,-0.000232,1,-52.251286,69.439087,33.005295,-51.786602,71.72261,68.752647,-51.804127,67.186081,68.908485,-52.697521,67.065201,-2.912372,-52.7169,71.782455,-2.727577,-51.777912,71.735535,68.740845,-51.811726,67.175163,68.905708,-52.689541,67.082016,-2.911529,-52.727551,71.759377,-2.711293,-74.801384,90.584854,22.38846,-63.44352,90.131119,51.80249,-68.624504,105.809113,37.149921,-74.191231,106.423416,21.937428,-63.283272,105.654716,52.023167,-68.355888,80.070885,41.325779,-72.5886,96.152435,28.750986,-64.894241,74.265511,51.13744,-75.644012,74.928719,22.018913,-70.645309,73.17749,36.604805
26,0.216,0.000091,0.000027,-0.00024,1,-52.251762,69.439781,33.005856,-51.787876,71.724373,68.753143,-51.805473,67.187851,68.909134,-52.697201,67.064819,-2.911752,-52.716507,71.782089,-2.7271,-51.778625,71.738365,68.742332,-51.813465,67.176086,68.90667,-52.689373,67.082199,-2.910637,-52.726616,71.759102,-2.713256,-74.802193,90.583023,22.384483,-63.437492,90.130379,51.802647,-68.622055,105.81192,37.150784,-74.192329,106.422874,21.941374,-63.281769,105.649857,52.019745,-68.358276,80.069778,41.325275,-72.595802,96.152626,28.751936,-64.925179,74.26944,51.14846,-75.625954,74.931015,22.012352,-70.66172,73.17691,36.615025
27,0.225,0.000088,0.000036,-0.000277,1,-52.251972,69.438698,33.00552,-51.787292,71.723473,68.752792,-51.805229,67.186951,68.908798,-52.698208,67.063545,-2.912068,-52.717163,71.780815,-2.727434,-51.778633,71.736687,68.741051,-51.812847,67.175667,68.906082,-52.690525,67.080704,-2.910432,-52.726978,71.758324,-2.712779,-74.802101,90.582863,22.38044,-63.432991,90.129066,51.804482,-68.620743,105.812622,37.149376,-74.191933,106.423225,21.939955,-63.276886,105.648979,52.020054,-68.360832,80.06675,41.330059,-72.601089,96.153793,28.755239,-64.961891,74.268661,51.164734,-75.599472,74.924644,21.997381,-70.689613,73.17305,36.628887
28,0.233,0.000085,0.00004,-0.000458,1,-52.251381,69.439919,33.004978,-51.785614,71.724739,68.752228,-51.80518,67.188225,68.908264,-52.69875,67.06472,-2.912593,-52.715992,71.781998,-2.727994,-51.777267,71.735245,68.741058,-51.813148,67.178558,68.904701,-52.690434,67.082069,-2.910448,-52.726501,71.759499,-2.712785,-74.801956,90.581718,22.37752,-63.427551,90.126793,51.809196,-68.618629,105.811562,37.15078,-74.191025,106.4226,21.942028,-63.27285,105.647186,52.021049,-68.354561,80.066963,41.329552,-72.61097,96.153404,28.7584,-64.998734,74.268982,51.18512,-75.578026,74.922844,21.990332,-70.697708,73.172958,36.636276
29,0.241,0.000089,0.000038,-0.000538,1,-52.251751,69.44014,33.004864,-51.785732,71.724586,68.752136,-51.806026,67.18808,68.908134,-52.699383,67.065308,-2.912727,-52.715874,71.782593,-2.728087,-51.777122,71.736092,68.741608,-51.81411,67.177696,68.904083,-52.690876,67.08242,-2.911139,-52.726818,71.759918,-2.71232,-74.8004,90.581467,22.374823,-63.425816,90.12294,51.81237,-68.617348,105.808914,37.150944,-74.192848,106.419693,21.943771,-63.270271,105.645081,52.022278,-68.352951,80.063614,41.330109,-72.623459,96.152473,28.763437,-65.061661,74.254791,51.195557,-75.554749,74.922905,21.986675,-70.703735,73.170456,36.644016
30,0.25,0.000101,0.000026,-0.000613,1,-52.25185,69.440102,33.004852,-51.786362,71.723595,68.752197,-51.80735,67.18708,68.908081,-52.698959,67.066238,-2.912813,-52.714741,71.783516,-2.72806,-51.776672,71.736404,68.741478,-51.815815,67.176247,68.905373,-52.690262,67.084274,-2.912052,-52.726479,71.758583,-2.712804,-74.794456,90.577957,22.377024,-63.425125,90.120071,51.818287,-68.616936,105.806969,37.153042,-74.194267,106.416382,21.943686,-63.266956,105.641808,52.020107,-68.34906,80.058029,41.334648,-72.63681,96.149277,28.77076,-65.099525,74.245064,51.218647,-75.522789,74.925652,21.987415,-70.707466,73.164192,36.655899
31,0.258,0.000108,0.00003,-0.000435,1,-52.25238,69.440361,33.004414,-51.787376,71.723564,68.751785,-51.806747,67.187042,68.907608,-52.698975,67.066788,-2.913272,-52.716434,71.784058,-2.728459,-51.779221,71.736214,68.740982,-51.814079,67.17614,68.904099,-52.691166,67.084183,-2.912646,-52.726929,71.759918,-2.711683,-74.792404,90.576462,22.37789,-63.426357,90.114037,51.824688,-68.617279,105.801987,37.155037,-74.195061,106.411125,21.947086,-63.266075,105.635704,52.021919,-68.346054,80.050819,41.336033,-72.647858,96.1464,28.778135,-65.133194,74.241287,51.243019,-75.48558,74.922226,21.976669,-70.709183,73.156876,36.662926
