Format Version,1.23,Take Name,textured_hang_exp_4,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 03.28.21.638 下午,Capture Start Frame,37729,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158,0.000106,-0.000015,-0.000028,1,-52.248756,69.385712,32.996929,-51.788879,71.669395,68.744324,-51.804562,67.132858,68.900169,-52.690136,67.011681,-2.920789,-52.711464,71.728935,-2.735987,-51.77853,71.700638,68.746498,-51.811569,67.112717,68.89473,-52.683674,67.022232,-2.928566,-52.719982,71.71376,-2.720502,-62.782539,74.843063,13.16551,-69.003677,79.870094,21.817987,-69.576797,89.182327,27.259081,-74.426964,56.570988,42.516766,-63.679852,90.656898,11.830685,-75.270752,88.669266,42.951675,-74.069832,72.704277,42.069088,-73.109398,67.210571,32.980751,-61.893635,58.538456,13.335527,-70.050865,56.812859,26.964178
20,0.166,0.000108,-0.000022,-0.00012,1,-52.249039,69.384644,32.997261,-51.7892,71.668129,68.744675,-51.805729,67.131599,68.900497,-52.690388,67.010803,-2.92047,-52.710842,71.728065,-2.735656,-51.778942,71.699348,68.74704,-51.812935,67.110695,68.894211,-52.683914,67.022346,-2.927472,-52.719246,71.7118,-2.720647,-62.788349,74.835655,13.161612,-69.006874,79.86425,21.826841,-69.57756,89.177361,27.263552,-74.371483,56.547367,42.510052,-63.681145,90.653358,11.83289,-75.275742,88.663071,42.952599,-74.063065,72.69912,42.071301,-73.110565,67.203156,32.981525,-61.898815,58.53817,13.335427,-70.054153,56.808643,26.964382
21,0.175,0.0001,-0.000021,-0.000128,1,-52.248932,69.385429,32.997368,-51.789032,71.669426,68.744743,-51.805634,67.132904,68.900635,-52.690346,67.011063,-2.920324,-52.710716,71.728325,-2.735576,-51.778118,71.698669,68.74749,-51.813679,67.112366,68.893875,-52.682991,67.02198,-2.927079,-52.720005,71.713295,-2.721198,-62.793686,74.831337,13.1633,-69.009064,79.859337,21.830732,-69.584969,89.169518,27.263191,-74.350449,56.554848,42.525448,-63.684933,90.646507,11.833674,-75.286079,88.657204,42.954243,-74.054642,72.694168,42.075306,-73.108688,67.19648,32.985474,-61.903805,58.527481,13.342549,-70.057014,56.803452,26.963148
22,0.183,0.000103,-0.000026,-0.000136,1,-52.249466,69.384605,32.997887,-51.789879,71.668434,68.745277,-51.806553,67.131905,68.901154,-52.690567,67.010414,-2.919823,-52.710873,71.727676,-2.735054,-51.778389,71.699005,68.748184,-51.814365,67.112167,68.894981,-52.683365,67.021118,-2.927788,-52.72047,71.712051,-2.718874,-62.80138,74.826241,13.162543,-69.013336,79.856369,21.832926,-69.596741,89.162621,27.266655,-74.335922,56.55864,42.534954,-63.687748,90.642128,11.838014,-75.290207,88.653526,42.958447,-74.047783,72.688675,42.079128,-73.109131,67.19381,32.990299,-61.90731,58.523254,13.340351,-70.060272,56.802906,26.964558
23,0.191,0.000102,-0.000036,-0.000293,1,-52.250027,69.384979,32.998463,-51.79044,71.668701,68.745872,-51.808537,67.132172,68.901741,-52.691154,67.010895,-2.919254,-52.709984,71.728157,-2.734497,-51.778709,71.69986,68.747292,-51.816513,67.111946,68.896629,-52.683723,67.021881,-2.926627,-52.71994,71.712234,-2.719129,-62.809841,74.804779,13.180455,-69.014603,79.849815,21.837345,-69.608192,89.154716,27.269924,-74.320587,56.564625,42.544632,-63.691044,90.635475,11.841434,-75.29232,88.64772,42.960648,-74.041504,72.684532,42.081757,-73.104012,67.185555,32.991688,-61.914413,58.520378,13.341774,-70.062286,56.796066,26.966364
24,0.2,0.000106,-0.000027,-0.000073,1,-52.248501,69.384003,32.997616,-51.789295,71.667641,68.745026,-51.805401,67.131111,68.900856,-52.689205,67.010002,-2.920115,-52.71011,71.727257,-2.735314,-51.779568,71.69873,68.747223,-51.812481,67.109596,68.894012,-52.682392,67.021286,-2.926952,-52.718979,71.711273,-2.719743,-62.817551,74.793625,13.185695,-69.014481,79.843872,21.841375,-69.616524,89.147522,27.273937,-74.303192,56.560318,42.546425,-63.695122,90.628479,11.844565,-75.294113,88.642342,42.966957,-74.036446,72.679581,42.086185,-73.098396,67.184074,32.998318,-61.921989,58.512562,13.341667,-70.069336,56.786156,26.969259
25,0.208,0.000102,-0.000022,-0.000029,1,-52.248955,69.384964,32.997463,-51.78957,71.668922,68.74485,-51.805271,67.132393,68.900719,-52.689831,67.010651,-2.920243,-52.711147,71.727905,-2.735478,-51.779346,71.698364,68.746902,-51.812874,67.111572,68.893646,-52.682812,67.021774,-2.927067,-52.720249,71.712135,-2.719648,-62.837566,74.782143,13.18477,-69.01783,79.840187,21.844786,-69.618622,89.141998,27.277643,-74.289108,56.557602,42.547035,-63.699173,90.620537,11.848649,-75.298981,88.627983,42.978992,-74.032372,72.674904,42.089699,-73.097633,67.17691,33.002533,-61.930267,58.505333,13.343146,-70.071373,56.782593,26.972359
26,0.216,0.000095,-0.000018,-0.000028,1,-52.247955,69.385223,32.997486,-51.788288,71.669678,68.744835,-51.803978,67.133148,68.900772,-52.689117,67.010414,-2.920184,-52.710438,71.727669,-2.735484,-51.77837,71.698547,68.747627,-51.81139,67.112717,68.892937,-52.682407,67.021217,-2.927274,-52.71896,71.71254,-2.719329,-62.844528,74.77652,13.190357,-69.021416,79.83519,21.847742,-69.617065,89.139381,27.281025,-74.276947,56.553383,42.549152,-63.703041,90.616882,11.853215,-75.30201,88.623245,42.982723,-74.032089,72.667862,42.094311,-73.096481,67.174583,33.005379,-61.935787,58.499588,13.346752,-70.080528,56.776566,26.97843
27,0.225,0.000101,-0.000025,-0.000105,1,-52.248055,69.385551,32.997696,-51.78854,71.669518,68.745087,-51.804935,67.132988,68.90097,-52.689083,67.01123,-2.920008,-52.709675,71.728485,-2.735254,-51.778091,71.698845,68.746567,-51.812637,67.112411,68.894585,-52.681778,67.021935,-2.926733,-52.719254,71.713188,-2.719701,-62.848152,74.770775,13.192558,-69.023277,79.827087,21.851414,-69.611694,89.136444,27.288187,-74.264946,56.547279,42.550709,-63.706242,90.610558,11.856806,-75.305359,88.616486,42.986637,-74.031059,72.660683,42.098282,-73.095322,67.1688,33.01075,-61.943138,58.493752,13.347581,-70.092682,56.75676,26.992052
28,0.233,0.00008,-0.000003,-0.000106,1,-52.248127,69.38707,32.997444,-51.786987,71.672562,68.744705,-51.803387,67.13604,68.900787,-52.690781,67.0112,-2.920136,-52.711357,71.72847,-2.735585,-51.778282,71.699104,68.74646,-51.810616,67.115173,68.892738,-52.68401,67.022995,-2.926553,-52.719952,71.712135,-2.719555,-62.85183,74.763664,13.196015,-69.027481,79.8246,21.858412,-69.607582,89.132675,27.288452,-74.258018,56.543533,42.553879,-63.71035,90.60363,11.860504,-75.3069,88.610832,42.992622,-74.032539,72.65493,42.099987,-73.094406,67.161629,33.014481,-61.947464,58.489521,13.347062,-70.095848,56.756256,26.996943
