Format Version,1.23,Take Name,leather_table_exp_10_2,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 03.13.25.991 下午,Capture Start Frame,234207,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116,-0.000159,-0.000056,-0.000852,1,-52.251637,69.436325,33.012947,-52.719933,71.740143,-2.708447,-52.690464,67.077812,-2.899152,-51.782875,71.741447,68.755173,-51.813282,67.185898,68.904221,-52.718269,71.770271,-2.71512,-52.691692,67.056221,-2.89508,-51.784027,71.742157,68.753937,-51.812141,67.184753,68.906219,-64.114105,101.415703,31.327291,-59.585865,100.871643,15.562177,-58.997639,84.701042,18.357294,-71.786385,70.424911,49.712502,-69.398651,86.716286,48.27977,-58.827454,68.653763,20.324629,-66.737007,68.859077,34.533764,-63.460983,93.248734,26.846426,-69.027946,78.018089,39.210503,-69.054321,102.643013,47.037636
15,0.125,-0.000151,-0.00005,-0.000738,1,-52.252018,69.436485,33.012573,-52.721291,71.740845,-2.708772,-52.690758,67.078522,-2.89956,-51.783337,71.741074,68.754837,-51.812698,67.185516,68.903801,-52.720409,71.771935,-2.716527,-52.691387,67.057327,-2.895743,-51.784092,71.741493,68.754524,-51.811928,67.184662,68.90564,-64.115471,101.408974,31.339651,-59.588604,100.868965,15.560696,-59.006779,84.699295,18.354353,-71.7733,70.427231,49.722702,-69.388962,86.717812,48.283398,-58.847694,68.649742,20.328487,-66.732063,68.865692,34.535679,-63.466846,93.250969,26.845387,-69.026291,78.021446,39.212677,-69.058762,102.642944,47.037201
16,0.133,-0.000153,-0.000054,-0.000982,1,-52.252304,69.435997,33.013142,-52.720165,71.740395,-2.708218,-52.691906,67.078056,-2.898985,-51.78278,71.74054,68.755386,-51.814373,67.184998,68.904373,-52.71907,71.771233,-2.715782,-52.692719,67.056732,-2.895221,-51.783379,71.740417,68.754303,-51.813786,67.184639,68.906982,-64.117584,101.416733,31.332354,-59.588169,100.867447,15.562633,-59.01907,84.695839,18.352076,-71.760323,70.428818,49.72961,-69.379059,86.724678,48.284203,-58.857567,68.649361,20.328798,-66.73835,68.866035,34.54081,-63.468681,93.25071,26.845337,-69.024651,78.02124,39.212757,-69.056755,102.647972,47.03735
17,0.141,-0.000149,-0.000052,-0.001012,1,-52.252396,69.436745,33.012569,-52.720268,71.74147,-2.708766,-52.692284,67.079132,-2.899578,-51.782589,71.740967,68.754829,-51.814449,67.185425,68.903793,-52.718723,71.771904,-2.715219,-52.69342,67.057137,-2.895432,-51.783798,71.741882,68.753571,-51.813244,67.184074,68.905624,-64.116608,101.410965,31.340466,-59.587711,100.865295,15.561682,-59.027851,84.689857,18.352854,-71.748734,70.432121,49.745998,-69.355598,86.734871,48.287617,-58.86475,68.650612,20.328989,-66.739929,68.871681,34.54908,-63.469307,93.25119,26.859804,-69.024643,78.023819,39.219563,-69.054459,102.654114,47.035255
18,0.15,-0.000152,-0.000046,-0.00106,0.999999,-52.251881,69.435951,33.012642,-52.719963,71.740532,-2.708703,-52.692432,67.078194,-2.899495,-51.781422,71.740303,68.75489,-51.813717,67.184769,68.903877,-52.718491,71.77092,-2.714353,-52.693512,67.056389,-2.895921,-51.78244,71.741066,68.754578,-51.812698,67.183662,68.904709,-64.115883,101.408432,31.340044,-59.588028,100.861359,15.56032,-59.035915,84.683159,18.349627,-71.741119,70.431335,49.765503,-69.341568,86.746048,48.303776,-58.876057,68.64856,20.33131,-66.750595,68.87146,34.551498,-63.465542,93.248383,26.865696,-69.021049,78.02504,39.223663,-69.060097,102.655449,47.031483
19,0.158,-0.00016,-0.000053,-0.00105,1,-52.252411,69.435585,33.012276,-52.719975,71.739555,-2.709117,-52.692341,67.077217,-2.899826,-51.782566,71.740562,68.754494,-51.81477,67.185028,68.903542,-52.719463,71.769852,-2.714685,-52.692722,67.055328,-2.896415,-51.783077,71.740791,68.753906,-51.814259,67.184433,68.90477,-64.116539,101.41436,31.330296,-59.585529,100.856552,15.562792,-59.044502,84.677536,18.350109,-71.729958,70.435104,49.777077,-69.335594,86.752274,48.309917,-58.885418,68.645027,20.333017,-66.764626,68.864403,34.557499,-63.465469,93.24691,26.853928,-69.019058,78.025841,39.227077,-69.063347,102.655319,47.032406
20,0.166,-0.000171,-0.000057,-0.000903,1,-52.251671,69.436066,33.011837,-52.719635,71.739098,-2.709609,-52.690636,67.076759,-2.900207,-51.782776,71.741982,68.754005,-51.813652,67.18644,68.90316,-52.718727,71.769836,-2.714987,-52.691311,67.054665,-2.897602,-51.783596,71.741226,68.753746,-51.81282,67.186859,68.904663,-64.118477,101.408783,31.341093,-59.584763,100.851265,15.563265,-59.082191,84.662033,18.34798,-71.723404,70.436714,49.783768,-69.330093,86.758842,48.313545,-58.893539,68.643211,20.33774,-66.764595,68.865562,34.566322,-63.46999,93.244743,26.863903,-69.014893,78.030365,39.233929,-69.059708,102.659622,47.031994
21,0.175,-0.000155,-0.000048,-0.000864,1,-52.250744,69.435814,33.01239,-52.719563,71.739944,-2.708977,-52.690208,67.077621,-2.899724,-51.781349,71.740616,68.754623,-51.811863,67.185066,68.903641,-52.718483,71.772026,-2.715289,-52.690983,67.055206,-2.896261,-51.782089,71.740585,68.753937,-51.811111,67.184708,68.905289,-64.116913,101.413727,31.328041,-59.582771,100.845146,15.562587,-59.109325,84.65023,18.349167,-71.715576,70.443832,49.799438,-69.322968,86.761734,48.315914,-58.906017,68.63797,20.34211,-66.789581,68.859001,34.586884,-63.467239,93.244164,26.870419,-69.015503,78.031471,39.240215,-69.066818,102.65905,47.034775
22,0.183,-0.000154,-0.000049,-0.000897,1,-52.251087,69.435097,33.012371,-52.7197,71.739388,-2.708992,-52.690655,67.077057,-2.899757,-51.781601,71.739754,68.754616,-51.812408,67.184204,68.90361,-52.718723,71.769577,-2.714986,-52.691364,67.055656,-2.897043,-51.782299,71.740204,68.754181,-51.811687,67.183388,68.905571,-64.117447,101.404533,31.341526,-59.578705,100.839676,15.564651,-59.116016,84.644569,18.348766,-71.70723,70.450401,49.811424,-69.321297,86.762131,48.322411,-58.924599,68.627716,20.361248,-66.79126,68.861382,34.592194,-63.465458,93.241158,26.874361,-69.014397,78.028549,39.247185,-69.065765,102.6623,47.031776
23,0.191,-0.000161,-0.000052,-0.00105,1,-52.251644,69.435081,33.012215,-52.719326,71.738976,-2.70918,-52.691704,67.076637,-2.899879,-51.781673,71.74012,68.754425,-51.813881,67.184586,68.903496,-52.718498,71.770103,-2.716237,-52.69231,67.055145,-2.897023,-51.782219,71.739738,68.753784,-51.813305,67.184532,68.906166,-64.118698,101.403259,31.343784,-59.575886,100.834511,15.567233,-59.122192,84.638321,18.346661,-71.702324,70.451523,49.820251,-69.318901,86.767197,48.329838,-58.939381,68.622475,20.366703,-66.797356,68.856995,34.599281,-63.462852,93.238541,26.876793,-69.013252,78.029655,39.25177,-69.071434,102.661049,47.036015
